Category: All categories

Region,Snapchat: (8/15/19 - 8/15/20)
North Dakota,100
Iowa,96
South Dakota,94
New Mexico,92
Nebraska,89
West Virginia,88
Illinois,87
Kansas,85
Wisconsin,84
Wyoming,83
Oklahoma,83
Kentucky,82
Mississippi,82
Missouri,81
Minnesota,79
Arkansas,79
Indiana,78
Alabama,78
Arizona,77
Michigan,77
Texas,76
Louisiana,75
Montana,74
Ohio,73
South Carolina,73
Rhode Island,73
Tennessee,72
Pennsylvania,70
Colorado,69
North Carolina,69
Idaho,69
Georgia,68
New Hampshire,68
Alaska,68
Utah,68
Connecticut,67
Vermont,67
Massachusetts,66
Maine,64
California,62
Washington,62
Oregon,62
Virginia,61
New Jersey,61
Nevada,60
Delaware,60
Florida,58
New York,57
Maryland,55
Hawaii,50
District of Columbia,29
