Tiktoker name,Tiktok name,Subscribers count,Views avg.,Likes avg,Comments avg.,Shares avg
ekin.721,MOMO’s,221.7K,26M,2.8M,29.4K,116.4K
dojacat,Doja Cat,22.2M,25.4M,5M,36.7K,46.8K
kiet.ac.quy,Kiệt Ắk Wỷ,2.1M,20.7M,3.5M,38.8K,33.9K
charlidamelio,charli d’amelio,135.4M,18.7M,2.6M,54.7K,35.2K
luvadepedreiro,Iran Ferreira (Lai),11.4M,24.8M,2.6M,32.7K,26.8K
badbunny,Bad Bunny,16.1M,17.6M,4M,28K,26.2K
khaby.lame,Khabane lame,135.2M,17.7M,2.3M,18K,11.2K
leomahalo,Leo Mahalo,6.8M,19M,2.2M,11.8K,14.4K
swagboygorringe,Daniel Gorringe,5.6M,9.9M,1.8M,25.3K,35.9K
jennmelon,Jenn Melon,2M,11M,2.3M,15.1K,24.5K
jounggustav,Joung Gustav,1.9M,16.4M,2.2M,9.9K,13.4K
txt.bighitent,TOMORROW X TOGETHER,16.2M,7.7M,1.8M,33.2K,12.2K
pongamoslo_a_prueba,Pongámoslo a Prueba,30.4M,16M,2.5M,6.3K,7.3K
bdylanhollis,B. Dylan Hollis,7.6M,8.6M,1.6M,11.5K,20K
lyczak,👑Łyczuu👑,1.5M,11.8M,1.4M,16.1K,8.6K
juandamc,JuanDa.,17.1M,7.5M,1.7M,9.1K,19.5K
lifeinanimati0n,A <3,745.2K,6.2M,1.1M,8.8K,40.2K
zlusha,Zlusha,2M,7.2M,1.1M,12.9K,29.5K
amauryguichon,Amaury Guichon,5.4M,11M,1.6M,5.8K,13.3K
eupereiraoficial,Eu Pereira,4.6M,12.2M,1.2M,5.7K,11.5K
druskitv,DRUSKI,3.2M,6.4M,1.2M,7.7K,25.9K
adrianbliss,Adrian Bliss,5.2M,7.7M,1.5M,5.4K,16K
kimberly.loaiza,Kimberly Loaiza,61M,9.9M,1.3M,14.1K,4.5K
deborahyowa,Deborah yowa,10.3M,12.6M,688.7K,17K,9.1K
nekoglai,Николай,9.4M,8.5M,982.3K,22.5K,4.4K
domelipa,Dominik,50.7M,7.9M,1.2M,17.3K,6.2K
diego.cr_,Diego Rodríguez,238.1K,9.1M,845K,9.1K,19.5K
addisonre,Addison Rae,87.3M,9.3M,1.2M,13.4K,5.9K
mastertingus,mastertingus,1.5M,4.2M,859.2K,25.1K,33.8K
santandave,Santan,1.1M,6.2M,1M,21.3K,12K
machinegunkelly,Colson,3.4M,10.8M,822.6K,13.7K,9K
bellapoarch,Bella Poarch,88.5M,11.1M,1M,14.3K,1.6K
daddyyankee,daddyyankee,10.4M,6M,696.3K,18.1K,20.6K
