Type,Name,Address,Grade,District,AGA Division,PS/MC/UC,Full_Add,Lat,Lon
Restaurants,BAVARIAN BARN RESTAURANT,"NO. 11, GALLE FACE COURT 02 COLOMBO",A,Colombo,Colombo,Colombo Divisional Secretariat,"NO. 11, GALLE FACE COURT 02 COLOMBO, Colombo, Sri Lanka",80.01667,6.86667
Restaurants,LORDS RESTAURANT,80B PORUTHOTA ROAD ETTHUKALA NEGOMBO,A,Gampaha,Negombo,Negombo Divisional Secretariat,"80B PORUTHOTA ROAD ETTHUKALA NEGOMBO, Gampaha, Sri Lanka",79.843249,7.206416
Restaurants,NIHONBASHI RESTAURANT,"NO 11, GALLE FACE TERRACE, COLOMBO 03",A,Colombo,Colombo,Colombo Divisional Secretariat,"NO 11, GALLE FACE TERRACE, COLOMBO 03, Colombo, Sri Lanka",80.01667,6.86667
Restaurants,FREE WIND RESTAURANT & BAR,"NO 1285, KANDY ROAD, PALAIYOOTHU, TRINCO MALEE",A,Trincomalee,Uppuveli Trinco Malee,Trincomalee Divisional Secretariat,"NO 1285, KANDY ROAD, PALAIYOOTHU, TRINCO MALEE, Trincomalee, Sri Lanka",80.75,7.25
Restaurants,EDWIN RESTAURANT,"204, LEWIS PLACE, NEGOMBO",B,Gampaha,Negombo,Negombo Divisional Secretariat,"204, LEWIS PLACE, NEGOMBO, Gampaha, Sri Lanka",79.843249,7.206416
Restaurants,DAKSHINA RESTAURANT,"154/A, KANDY RD, DALUGAMA,KELANIYA",B,Gampaha,Peliyagoda,Mahara Kelaniya,"154/A, KANDY RD, DALUGAMA,KELANIYA, Gampaha, Sri Lanka",79.893962,6.971391
Restaurants,KUMU KUMA CHINESE RESTAURANT,"278/2, HIGHLEVEL RD, MAHALWARAWA, PANNIPITIYA",A,Colombo,Maharagama,Maharagama Divisional Secretariat,"278/2, HIGHLEVEL RD, MAHALWARAWA, PANNIPITIYA, Colombo, Sri Lanka",79.945297,6.834129
Restaurants,HANSAGIRI RESTAURANT,"192 1/1, BODHIRAJA MAWATHA, COLOMBO 11",A,Colombo,Colombo,Colombo Divisional Secretariat,"192 1/1, BODHIRAJA MAWATHA, COLOMBO 11, Colombo, Sri Lanka",80.01667,6.86667
Restaurants,JAYALATH INN RESTAURANT,"269, WELIGAMPITIYA JA-ELA",A,Gampaha,Ja-Ela,Ja-Ela Divisional Secretariat,"269, WELIGAMPITIYA JA-ELA, Gampaha, Sri Lanka",79.8939939960837,7.06884012671685
Restaurants,GREAT WALL RESTAURANTS,"N0.03, EDWARD LANE COLOMBO 03",A,Colombo,Colombo,Colombo Divisional Secretariat,"N0.03, EDWARD LANE COLOMBO 03, Colombo, Sri Lanka",80.01667,6.86667
Restaurants,EXCEL RESTAURANTS,"338, T.B. JAYAH MAWATHA, COLOMBO 10",A,Colombo,Colombo,Colombo Divisional Secretariat,"338, T.B. JAYAH MAWATHA, COLOMBO 10, Colombo, Sri Lanka",80.01667,6.86667
Restaurants,PUBS AND PLACES- KANDY,"N0.30, GEORGE E.DE SILVA MAWATHA, KANDY",A,Kandy,Kandy,Kandy Divisional Secretariat,"N0.30, GEORGE E.DE SILVA MAWATHA, KANDY, Kandy, Sri Lanka",80.625828,7.295044
Restaurants,KANDOORI RESTAURANT (BERUWALA),"428, GALLE ROAD, HETTIMULLA BERUWALA",A,Kalutara,Beruwala Pradeshiya Sabha,Beruwala Divisional Secretariat,"428, GALLE ROAD, HETTIMULLA BERUWALA, Kalutara, Sri Lanka",79.982049,6.460387
Restaurants,SENANI RESTAURANT,"NO 30,RAJAPIHILLA MAWATHA, KANDY",A,Kandy,Kandy,Kandy Divisional Secretariat,"NO 30,RAJAPIHILLA MAWATHA, KANDY, Kandy, Sri Lanka",80.625828,7.295044
Restaurants,JANAHITHA RESTAURANT,"107/1 MAKOLA SOUTH, MAKOLA",A,Gampaha,Biyagama Pradeshiya Sabha,Biyagama Divisional Secretariat,"107/1 MAKOLA SOUTH, MAKOLA, Gampaha, Sri Lanka",80.0,7.13333
Restaurants,FLAG & WHISTLE RESTAURANT & PUB,"NO.256,SETHMIL BUILDING,5TH FLOOR,SRIMATH RAMANATHAN MAWATHA,COLOMBO 15.",A,Colombo,Colombo,Colombo Divisional Secretariat,"NO.256,SETHMIL BUILDING,5TH FLOOR,SRIMATH RAMANATHAN MAWATHA,COLOMBO 15., Colombo, Sri Lanka",80.01667,6.86667
Restaurants,CHANVAL RESTAURANT (MAHARAGAMA),"NO. 5/2 5/3 SRI DEWANANDA ROAD,NAWINNA,MAHARAGAMA.",A,Colombo,Maharagama,Maharagama Divisional Secretariat,"NO. 5/2 5/3 SRI DEWANANDA ROAD,NAWINNA,MAHARAGAMA., Colombo, Sri Lanka",79.923272,6.851146
Restaurants,PUBS AND PLACES - YATINUWARA,"60/1,YATINUWARA WEEDIYA,KANDY",B,Kandy,Kandy,Kandy Divisional Secretariat,"60/1,YATINUWARA WEEDIYA,KANDY, Kandy, Sri Lanka",80.625828,7.295044
Restaurants,ISHARA RESTAURANT,"NO. 278/4, RATHMALDENIYA ROAD PELANWATTA, PANNIPITIYA",A,Colombo,Maharagama,Maharagama Divisional Secretariat,"NO. 278/4, RATHMALDENIYA ROAD PELANWATTA, PANNIPITIYA, Colombo, Sri Lanka",79.945297,6.834129
Restaurants,SAYURA RESTAURANT,"BEHIND THE ECONOMICAL CENTER ALUTHPARA, DAMBULLA",A,Matale,Damana Pradeshiya Sabha,Dambulla Divisional Secretariat,"BEHIND THE ECONOMICAL CENTER ALUTHPARA, DAMBULLA, Matale, Sri Lanka",80.656148,7.866782
Restaurants,RANWELI RESTAURANT,"NO.99, KAUDPELELLA, MATALE",A,Matale,Matale,Matale Divisional Secretariat,"NO.99, KAUDPELELLA, MATALE, Matale, Sri Lanka",80.75,7.66667
Restaurants,SILVER RAY RESTAURANT,"NO 18,DIPPITIGALA, LELLOPITIYA",A,Ratnapura,Pelmadulla Pradeshiya Sabha,Pelmadulla Divisional Secretariat,"NO 18,DIPPITIGALA, LELLOPITIYA, Ratnapura, Sri Lanka",80.482597137,6.663130409
Restaurants,RAJA BOJUN,"LIBERTY ARCADE,NO.282,R.A. DE MEL MW,COLOMBO 03.",A,Colombo,Colombo,Colombo Divisional Secretariat,"LIBERTY ARCADE,NO.282,R.A. DE MEL MW,COLOMBO 03., Colombo, Sri Lanka",80.01667,6.86667
Restaurants,MINTAGE RESTAURANT & BAR,"NO154, KINYSEY ROAD, COLOMBO07",A,Colombo,Colombo,Colombo Divisional Secretariat,"NO154, KINYSEY ROAD, COLOMBO07, Colombo, Sri Lanka",80.01667,6.86667
Restaurants,ELEPHANT PARK RESTAURANT,"PINNAWALA, RAMBUKKANA",A,Kegalle,Rambukkana Pradeshiya Sabha,Rambukkana Divisional Secretariat,"PINNAWALA, RAMBUKKANA, Kegalle, Sri Lanka",80.385626,7.303204
Restaurants,PUBS AND PLACES (BENTOTA),"NO.357,GALLE ROAD,WARAHENA BENTOTA",A,Galle,Bentota Pradeshiya Sabha,Benthota Divisional Secretariat,"NO.357,GALLE ROAD,WARAHENA BENTOTA, Galle, Sri Lanka",80.223192,6.043279
