Rank,Year,Country,Golds,Silvers,Bronzes,Medals
1,1984,United States,82,61,30,173
1,1980,Former Soviet Union / Russian Empire,80,69,46,195
1,1904,United States,77,82,74,233
1,1908,United Kingdom,56,50,37,143
1,1988,Former Soviet Union / Russian Empire,54,31,46,131
1,1972,Former Soviet Union / Russian Empire,50,27,22,99
1,1976,Former Soviet Union / Russian Empire,49,41,35,125
1,2008,China,49,21,28,98
2,1980,East Germany,47,37,42,126
1,2012,United States,47,27,30,104
1,1992,Former Soviet Union / Russian Empire,45,38,29,112
1,1968,United States,45,28,34,107
1,1924,United States,45,27,27,99
1,1996,United States,44,32,25,101
1,1960,Former Soviet Union / Russian Empire,43,29,31,103
1,1932,United States,41,32,30,103
1,1920,United States,41,27,27,95
1,1952,United States,41,19,17,77
2,1976,East Germany,40,25,25,90
2,2012,China,38,31,22,91
1,1948,United States,38,27,19,84
2,1988,East Germany,37,35,30,102
2,1992,United States,37,34,37,108
1,1956,Former Soviet Union / Russian Empire,37,29,32,98
2,2008,United States,36,38,37,111
3,1988,United States,36,31,27,94
1,1964,United States,36,26,28,90
1,2000,United States,36,24,32,92
1,2004,United States,35,40,26,101
3,1976,United States,34,35,25,94
2,1960,United States,34,21,16,71
2,1972,United States,33,31,30,94
1,1936,Germany,33,26,30,89
3,1992,Germany,33,21,28,82
2,2000,Russian Federation,32,28,29,89
2,1956,United States,32,25,17,74
2,2004,China,32,17,14,63
2,1964,Former Soviet Union / Russian Empire,30,30,33,93
2,1968,Former Soviet Union / Russian Empire,29,32,30,91
3,2012,United Kingdom,29,18,18,65
3,2004,Russian Federation,28,26,36,90
3,2000,China,28,16,14,58
2,1996,Russian Federation,26,21,16,63
1,1912,United States,25,18,19,62
1,1900,France,24,36,27,87
2,1912,Sweden,24,24,17,65
2,1936,United States,24,20,12,56
3,2008,Russian Federation,24,13,23,60
2,1952,Former Soviet Union / Russian Empire,22,29,19,70
1,1928,United States,22,18,16,56
2,1908,United States,22,12,12,46
3,1972,East Germany,20,23,23,66
4,2012,Russian Federation,20,21,28,69
3,1996,Germany,20,18,27,65
2,1984,Romania,19,16,17,52
2,1900,United States,19,14,14,47
4,2008,United Kingdom,19,13,19,51
2,1920,Sweden,18,18,24,60
3,1984,West Germany,17,19,23,59
4,2004,Australia,17,16,17,50
4,2000,Australia,16,25,17,58
4,1992,China,16,22,15,53
4,1996,China,16,22,12,50
2,1948,Sweden,16,11,17,44
5,2008,Germany,16,11,14,41
3,1952,Hungary,16,10,16,42
5,2004,Japan,16,9,12,37
3,1964,Japan,16,5,8,29
3,1920,United Kingdom,15,15,13,43
4,1920,Finland,15,10,9,34
4,1984,China,15,8,9,32
5,1996,France,15,7,15,37
3,1900,United Kingdom,15,6,8,29
6,2008,Australia,14,15,17,46
2,1924,Finland,14,13,10,37
5,1920,Belgium,14,11,11,36
5,1984,Italy,14,6,12,32
5,1992,Cuba,14,6,11,31
5,2000,Germany,13,17,26,56
6,2004,Germany,13,16,20,49
6,2000,France,13,14,11,38
3,1924,France,13,14,10,37
4,1972,West Germany,13,11,16,40
3,1960,Italy,13,10,13,36
6,1996,Italy,13,10,12,35
6,1920,Norway,13,10,9,32
7,2008,South Korea,13,10,8,31
5,2012,South Korea,13,9,8,30
3,1956,Australia,13,8,14,35
7,2000,Italy,13,8,13,34
5,1972,Japan,13,8,8,29
6,1992,Spain,13,7,2,22
7,1920,Italy,13,5,4,22
4,1960,Germany (United Team),12,19,11,42
4,1952,Sweden,12,13,10,35
2,1932,Italy,12,12,12,36
4,1988,South Korea,12,10,11,33
8,2000,Netherlands,12,9,4,25
7,1992,South Korea,12,5,11,28
6,2012,Germany,11,20,13,44
5,1988,West Germany,11,14,15,40
8,1992,Hungary,11,12,7,30
7,2012,France,11,11,13,35
9,2000,Cuba,11,11,7,29
10,2000,United Kingdom,11,10,7,28
