Category: All categories

Region,TikTok: (8/15/19 - 8/15/20)
Connecticut,100
New Jersey,96
California,95
Hawaii,94
Nebraska,94
Rhode Island,93
Utah,93
Massachusetts,93
Kentucky,91
Texas,91
Minnesota,91
North Dakota,90
Illinois,90
Iowa,90
Delaware,89
North Carolina,89
Vermont,89
New Hampshire,89
Indiana,88
South Dakota,88
Kansas,88
Wisconsin,88
Michigan,88
Oklahoma,88
Pennsylvania,87
Ohio,87
West Virginia,87
Maine,86
Missouri,86
Arkansas,86
Arizona,86
Alabama,86
Virginia,85
Georgia,84
Colorado,83
Tennessee,83
Washington,83
Maryland,82
Nevada,82
Idaho,81
Louisiana,80
Alaska,80
South Carolina,80
Florida,79
New Mexico,79
New York,78
Oregon,78
Mississippi,78
Wyoming,77
Montana,73
District of Columbia,57
