Category: All categories

Region,Venmo: (8/13/19 - 8/13/20)
Utah,100
Hawaii,75
Massachusetts,70
Colorado,67
California,66
New Hampshire,65
Vermont,65
Idaho,62
Maine,59
Iowa,58
Connecticut,58
Montana,58
District of Columbia,56
Rhode Island,55
New Jersey,55
Nebraska,55
Oregon,55
Minnesota,54
Washington,54
New York,52
Pennsylvania,51
Nevada,50
Louisiana,50
Delaware,49
Missouri,48
North Dakota,47
Wyoming,47
Kansas,47
Tennessee,47
Arizona,46
South Dakota,45
Virginia,45
Alabama,45
Maryland,45
South Carolina,44
Ohio,43
Georgia,43
Texas,43
Wisconsin,43
Michigan,42
North Carolina,42
Alaska,42
Kentucky,41
Illinois,40
Indiana,39
Oklahoma,38
Florida,38
New Mexico,36
Mississippi,36
Arkansas,31
West Virginia,30
