Category: All categories

Region,WeChat: (8/16/19 - 8/16/20)
California,100
New York,80
District of Columbia,77
Massachusetts,74
Washington,61
New Jersey,59
Hawaii,58
Maryland,49
Delaware,43
Nevada,40
Oregon,39
Illinois,37
Connecticut,36
Virginia,35
Pennsylvania,34
Michigan,31
New Hampshire,30
Georgia,29
Texas,29
Iowa,28
Rhode Island,28
Minnesota,27
Vermont,26
North Carolina,26
Utah,26
Ohio,25
Indiana,25
Wisconsin,24
South Dakota,24
Missouri,23
Arizona,23
Florida,22
Colorado,21
Oklahoma,21
Kansas,20
Wyoming,19
Idaho,18
Alabama,17
Alaska,17
Tennessee,17
Mississippi,17
New Mexico,16
Arkansas,16
Kentucky,16
Maine,16
South Carolina,15
Louisiana,15
North Dakota,15
Nebraska,14
Montana,14
West Virginia,13
