Category: All categories

Region,WhatsApp: (8/16/19 - 8/16/20)
New Jersey,100
Florida,90
District of Columbia,89
New York,79
Texas,72
Massachusetts,65
California,65
Maryland,61
Virginia,57
Connecticut,51
Georgia,50
Rhode Island,48
Arizona,48
Nevada,45
Washington,45
Illinois,45
Delaware,43
North Carolina,40
Michigan,39
Colorado,39
Oregon,38
Pennsylvania,37
Kansas,34
New Mexico,34
Minnesota,33
Utah,32
South Carolina,32
Hawaii,32
Louisiana,31
New Hampshire,30
Tennessee,30
Indiana,30
Ohio,29
Arkansas,29
Oklahoma,28
Iowa,28
Missouri,27
Kentucky,27
Wisconsin,27
Nebraska,26
Vermont,26
Alaska,26
Alabama,26
Idaho,26
Wyoming,26
Mississippi,25
Maine,24
Montana,24
South Dakota,21
West Virginia,21
North Dakota,19
