Category: All categories

Region,Windows 10 laptop: (8/14/19 - 8/14/20)
Maine,100
West Virginia,97
New Hampshire,90
Maryland,89
Virginia,88
Delaware,84
Nebraska,83
Iowa,82
Kansas,82
Missouri,82
New Mexico,82
Oregon,82
Oklahoma,82
Arizona,81
Tennessee,81
New Jersey,81
Utah,81
Nevada,80
Arkansas,80
Connecticut,80
Kentucky,80
Texas,79
Wisconsin,79
North Carolina,78
Mississippi,78
Ohio,77
Washington,77
Pennsylvania,77
Idaho,77
Indiana,77
Montana,76
Florida,76
Massachusetts,76
South Carolina,75
Illinois,75
District of Columbia,75
Georgia,75
Minnesota,75
Colorado,74
Hawaii,74
Michigan,74
California,73
North Dakota,73
New York,72
Alabama,72
Louisiana,71
Rhode Island,71
Vermont,67
Alaska,64
South Dakota,57
Wyoming,50
