,City,Cost_index,"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle),Cappuccino (regular),Coke/Pepsi (0.33 liter bottle),"Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),"Rice (white), (1kg)",Eggs (regular) (12),Local Cheese (1kg),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apples (1kg),Banana (1kg),Oranges (1kg),Tomato (1kg),Potato (1kg),Onion (1kg),Lettuce (1 head),Water (1.5 liter bottle),Bottle of Wine (Mid-Range),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle).1,Cigarettes 20 Pack (Marlboro),One-way Ticket (Local Transport),Monthly Pass (Regular Price),Taxi Start (Normal Tariff),Taxi 1km (Normal Tariff),Taxi 1hour Waiting (Normal Tariff),Gasoline (1 liter),Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment",1 min. of Prepaid Mobile Tariff Local (No Discounts or Plans),"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat","Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child","International Primary School, Yearly for 1 Child",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,Average Monthly Net Salary (After Tax)
0,Turin,65.63,15.0,60.0,8.0,4.0,4.0,1.41,1.98,1.1,1.56,1.75,2.8,12.37,9.04,14.47,1.58,1.49,1.54,1.82,0.92,0.96,1.02,0.33,6.0,1.25,1.72,5.6,1.7,38.0,5.0,1.5,25.25,1.59,21000.0,25656.25,157.64,0.2,28.62,39.3,20.86,8.0,494.17,34875.0,74.63,31.92,76.41,120.91,568.75,420.31,1107.24,765.17,3435.42,1976.0,1413.44
1,Milan,75.78,15.0,60.0,8.0,5.0,5.0,1.51,2.54,1.23,2.01,2.41,3.11,14.31,9.94,18.4,2.06,2.0,2.28,2.58,1.33,1.36,1.28,0.39,7.0,1.46,2.24,5.7,2.0,39.0,6.0,1.4,30.0,1.6,23800.0,25113.89,178.6,0.2,29.4,63.3,25.79,10.0,633.33,12290.91,86.12,35.83,90.99,138.49,1167.0,748.08,2507.87,1514.29,8549.13,3786.26,1651.84
2,Chemnitz,0.0,8.5,40.0,7.75,3.0,3.75,3.0,2.08,0.68,1.27,2.06,1.74,8.63,6.67,9.0,2.22,1.49,1.73,2.08,1.28,1.27,0.79,0.34,4.99,0.79,1.21,6.0,2.3,55.8,3.5,2.0,24.0,1.39,26250.0,23250.0,165.91,0.1,30.43,24.2,18.0,15.0,195.0,3000.0,52.5,24.0,68.75,88.75,385.0,332.0,850.0,675.0,3000.0,1516.67,1962.5
3,Dublin,77.85,15.0,62.5,8.5,5.75,6.0,3.29,1.86,0.97,1.46,1.63,2.94,9.65,8.63,8.94,2.17,1.96,2.33,2.6,1.82,1.23,1.02,1.55,12.0,2.6,2.95,13.5,3.0,130.0,4.0,1.5,30.0,1.44,25000.0,25873.27,155.11,0.29,53.66,42.22,17.58,12.0,1080.62,9076.54,80.68,34.7,83.3,97.38,1709.85,1434.79,3035.56,2372.22,5587.01,4026.59,2490.81
4,Bonn,66.01,9.5,55.0,7.5,3.5,3.5,2.61,2.06,0.74,1.15,2.26,1.78,8.27,8.44,11.11,2.57,1.45,2.07,2.4,1.0,1.49,0.84,0.39,4.99,0.81,1.26,6.4,3.0,95.0,3.5,1.9,37.2,1.43,24505.0,23822.5,227.78,0.1,32.31,35.29,18.25,12.0,545.0,14333.33,87.44,35.5,72.88,100.43,784.62,586.15,1507.69,1138.46,7433.33,4933.33,2431.83
5,Modena,69.59,15.0,50.0,8.0,5.0,5.0,1.55,2.57,1.17,2.17,2.1,3.03,13.25,11.75,15.25,2.37,1.77,2.23,2.17,1.67,1.87,1.57,0.29,4.0,1.55,1.88,5.5,1.5,31.0,4.5,1.1,28.0,1.56,25818.35,19677.9,150.37,0.03,30.38,56.43,19.67,8.5,480.0,14500.0,81.0,31.23,93.75,95.0,612.5,500.0,1033.33,783.33,2950.0,1533.33,1461.11
6,Lille,68.83,12.75,40.0,8.0,5.0,4.5,2.88,2.45,1.14,1.37,1.68,2.73,13.62,11.62,13.72,2.48,2.42,2.3,2.23,1.45,1.62,1.34,0.34,5.5,2.22,2.58,10.0,1.65,58.0,8.0,1.9,28.2,1.49,24000.0,22500.0,112.6,0.05,27.67,25.67,30.0,11.0,539.58,5000.0,81.75,30.89,68.89,90.83,621.15,473.33,1350.0,907.78,3025.0,2375.0,1860.25
7,Helsinki,71.82,13.0,70.0,8.0,6.25,7.0,4.08,2.73,1.0,2.35,2.12,2.18,6.78,9.87,11.93,2.2,1.63,1.93,2.82,0.99,1.27,2.21,1.53,14.0,2.46,3.15,8.0,2.8,59.7,6.0,1.0,47.4,1.55,24000.0,25073.09,84.06,0.07,23.04,38.92,25.88,15.0,343.91,3022.42,87.36,36.4,89.31,126.08,1003.25,778.67,1901.14,1343.26,7631.85,4562.01,2481.31
8,Freiburg,64.59,10.0,55.0,7.49,3.5,3.1,2.49,2.24,0.72,1.47,2.16,1.8,9.83,8.33,11.33,2.54,1.57,1.97,2.49,1.0,1.38,0.75,0.42,4.99,0.81,1.18,6.4,2.4,60.0,4.0,2.8,36.1,1.47,18000.0,28840.0,223.36,0.1,33.33,36.83,16.67,10.25,319.75,4300.0,78.17,32.25,75.6,128.0,875.5,606.25,1925.0,1327.78,7700.0,5600.0,2450.0
9,Strasbourg,73.3,12.0,60.0,8.25,5.0,4.75,2.62,2.53,0.94,1.15,1.78,2.52,15.33,8.1,15.87,2.58,1.82,2.17,3.29,1.88,2.0,1.2,0.54,6.5,1.88,2.18,9.3,1.8,51.0,4.0,0.75,24.0,1.45,22500.0,27500.0,228.27,0.24,31.55,34.67,19.0,10.0,1000.0,24000.0,79.38,48.33,80.71,96.25,625.62,452.5,1272.5,907.14,4875.0,3079.5,2045.24
