Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"OA","Annual population","2","Afghanistan","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","35530.081","X","International reliable sources","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Annual population","3","Albania","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","2930.187","X","International reliable sources","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Annual population","4","Algeria","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","41318.142","X","International reliable sources","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Annual population","5","American Samoa","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","55.641","X","International reliable sources","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Annual population","6","Andorra","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","76.965","X","International reliable sources","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Annual population","7","Angola","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","29784.193","X","International reliable sources","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Annual population","258","Anguilla","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","14.909","X","International reliable sources","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Annual population","8","Antigua and Barbuda","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","102.012","X","International reliable sources","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Annual population","9","Argentina","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","44271.041","X","International reliable sources","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Annual population","1","Armenia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","2930.45","X","International reliable sources","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Annual population","22","Aruba","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","105.264","X","International reliable sources","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Annual population","10","Australia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","24450.561","X","International reliable sources","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Annual population","11","Austria","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","8735.453","X","International reliable sources","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Annual population","52","Azerbaijan","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","9827.589","X","International reliable sources","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Annual population","12","Bahamas","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","395.361","X","International reliable sources","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Annual population","13","Bahrain","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","1492.584","X","International reliable sources","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Annual population","16","Bangladesh","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","164669.751","X","International reliable sources","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Annual population","14","Barbados","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","285.719","X","International reliable sources","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Annual population","57","Belarus","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","9468.338","X","International reliable sources","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Annual population","255","Belgium","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","11429.336","X","International reliable sources","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Annual population","23","Belize","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","374.681","X","International reliable sources","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Annual population","53","Benin","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","11175.692","X","International reliable sources","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Annual population","17","Bermuda","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","61.349","X","International reliable sources","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Annual population","18","Bhutan","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","807.61","X","International reliable sources","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Annual population","19","Bolivia (Plurinational State of)","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","11051.6","X","International reliable sources","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Annual population","80","Bosnia and Herzegovina","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","3507.017","X","International reliable sources","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Annual population","20","Botswana","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","2291.661","X","International reliable sources","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Annual population","21","Brazil","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","209288.278","X","International reliable sources","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Annual population","239","British Virgin Islands","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","31.196","X","International reliable sources","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Annual population","26","Brunei Darussalam","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","428.697","X","International reliable sources","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
