Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RL","Land Use","2","Afghanistan","5110","Area","6601","Land area","2013","2013","1000 ha","65286","Fm","Manual Estimation"
"RL","Land Use","3","Albania","5110","Area","6601","Land area","2013","2013","1000 ha","2740","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","4","Algeria","5110","Area","6601","Land area","2013","2013","1000 ha","238174","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","5","American Samoa","5110","Area","6601","Land area","2013","2013","1000 ha","20","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","6","Andorra","5110","Area","6601","Land area","2013","2013","1000 ha","47","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","7","Angola","5110","Area","6601","Land area","2013","2013","1000 ha","124670","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","258","Anguilla","5110","Area","6601","Land area","2013","2013","1000 ha","9","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","8","Antigua and Barbuda","5110","Area","6601","Land area","2013","2013","1000 ha","44","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","9","Argentina","5110","Area","6601","Land area","2013","2013","1000 ha","273669","Fm","Manual Estimation"
"RL","Land Use","1","Armenia","5110","Area","6601","Land area","2013","2013","1000 ha","2847","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","22","Aruba","5110","Area","6601","Land area","2013","2013","1000 ha","18","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","10","Australia","5110","Area","6601","Land area","2013","2013","1000 ha","768230","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","11","Austria","5110","Area","6601","Land area","2013","2013","1000 ha","8253.1","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","52","Azerbaijan","5110","Area","6601","Land area","2013","2013","1000 ha","8265.9","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","12","Bahamas","5110","Area","6601","Land area","2013","2013","1000 ha","1001","Fm","Manual Estimation"
"RL","Land Use","13","Bahrain","5110","Area","6601","Land area","2013","2013","1000 ha","77","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","16","Bangladesh","5110","Area","6601","Land area","2013","2013","1000 ha","13017","Fm","Manual Estimation"
"RL","Land Use","14","Barbados","5110","Area","6601","Land area","2013","2013","1000 ha","43","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","57","Belarus","5110","Area","6601","Land area","2013","2013","1000 ha","20290.8","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","255","Belgium","5110","Area","6601","Land area","2013","2013","1000 ha","3028","Fm","Manual Estimation"
"RL","Land Use","23","Belize","5110","Area","6601","Land area","2013","2013","1000 ha","2281","Fm","Manual Estimation"
"RL","Land Use","53","Benin","5110","Area","6601","Land area","2013","2013","1000 ha","11276","Fm","Manual Estimation"
"RL","Land Use","17","Bermuda","5110","Area","6601","Land area","2013","2013","1000 ha","5.4","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","18","Bhutan","5110","Area","6601","Land area","2013","2013","1000 ha","3811.7","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","19","Bolivia (Plurinational State of)","5110","Area","6601","Land area","2013","2013","1000 ha","108330","Fm","Manual Estimation"
"RL","Land Use","80","Bosnia and Herzegovina","5110","Area","6601","Land area","2013","2013","1000 ha","5120","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","20","Botswana","5110","Area","6601","Land area","2013","2013","1000 ha","56673","Fm","Manual Estimation"
"RL","Land Use","21","Brazil","5110","Area","6601","Land area","2013","2013","1000 ha","835814","Fm","Manual Estimation"
"RL","Land Use","239","British Virgin Islands","5110","Area","6601","Land area","2013","2013","1000 ha","15","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","26","Brunei Darussalam","5110","Area","6601","Land area","2013","2013","1000 ha","527","Fm","Manual Estimation"
"RL","Land Use","27","Bulgaria","5110","Area","6601","Land area","2013","2013","1000 ha","10856","Fm","Manual Estimation"
"RL","Land Use","233","Burkina Faso","5110","Area","6601","Land area","2013","2013","1000 ha","27360","Fm","Manual Estimation"
"RL","Land Use","29","Burundi","5110","Area","6601","Land area","2013","2013","1000 ha","2568","Fm","Manual Estimation"
"RL","Land Use","35","Cabo Verde","5110","Area","6601","Land area","2013","2013","1000 ha","403","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","115","Cambodia","5110","Area","6601","Land area","2013","2013","1000 ha","17652","Fm","Manual Estimation"
"RL","Land Use","32","Cameroon","5110","Area","6601","Land area","2013","2013","1000 ha","47271","Fm","Manual Estimation"
"RL","Land Use","33","Canada","5110","Area","6601","Land area","2013","2013","1000 ha","909351","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","36","Cayman Islands","5110","Area","6601","Land area","2013","2013","1000 ha","24","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","37","Central African Republic","5110","Area","6601","Land area","2013","2013","1000 ha","62298","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","39","Chad","5110","Area","6601","Land area","2013","2013","1000 ha","125920","Fm","Manual Estimation"
"RL","Land Use","259","Channel Islands","5110","Area","6601","Land area","2013","2013","1000 ha","19.8","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","40","Chile","5110","Area","6601","Land area","2013","2013","1000 ha","74353.2","Q","Official data reported on FAO Questionnaires from countries"
