Category: All categories

Region,Xbox One: (8/15/19 - 8/15/20)
West Virginia,100
Kentucky,91
Wyoming,89
North Dakota,88
Indiana,87
Oklahoma,86
Idaho,86
Utah,83
South Dakota,82
Washington,82
Missouri,81
Arkansas,81
Iowa,81
Kansas,81
Ohio,80
Montana,79
Michigan,78
Alaska,77
Arizona,74
Oregon,74
Maine,74
New Mexico,73
Nebraska,73
Tennessee,73
New Hampshire,72
Alabama,71
Wisconsin,71
Colorado,71
Pennsylvania,70
Nevada,70
Texas,69
South Carolina,68
Delaware,68
Mississippi,68
North Carolina,67
Rhode Island,66
Minnesota,65
Illinois,65
Louisiana,65
Virginia,65
Vermont,64
Connecticut,62
Georgia,62
Maryland,59
New Jersey,58
Florida,56
Hawaii,55
Massachusetts,55
California,54
New York,52
District of Columbia,32
