Category: All categories

Region,YouTube: (8/15/19 - 8/15/20)
Mississippi,100
Hawaii,97
Alaska,97
Louisiana,95
Montana,94
New Mexico,94
Vermont,93
New Jersey,92
Maine,91
North Carolina,91
California,91
Arkansas,91
Kentucky,91
South Dakota,91
Wyoming,90
Idaho,90
Maryland,90
Delaware,89
Rhode Island,89
North Dakota,89
Alabama,89
Connecticut,88
Georgia,88
Minnesota,88
Washington,88
South Carolina,87
Iowa,87
Ohio,87
Oregon,87
Wisconsin,87
Florida,87
Pennsylvania,87
Virginia,87
Utah,86
West Virginia,86
New Hampshire,86
Michigan,86
Nevada,85
Texas,85
Oklahoma,85
Illinois,84
Tennessee,84
Arizona,83
Missouri,83
Indiana,83
Kansas,83
New York,83
Massachusetts,82
Nebraska,82
Colorado,79
District of Columbia,75
