date,region,cases,recovered,deceased,population,active,active_per_10k,deceased_per_million,suceptible,removed
2020-07-20,La Paz,10190,821,169,2926996,9200,31.43154278311279,57.738377503761534,2916806,990
2020-07-19,La Paz,9655,797,162,2926996,8696,29.709640874124872,55.34684707461165,2917341,959
2020-07-18,La Paz,8922,742,157,2926996,8023,27.410355190099338,53.6386110537903,2918074,899
2020-07-17,La Paz,8209,704,155,2926996,7350,25.111069506073804,52.955316645461764,2918787,859
2020-07-16,La Paz,7976,636,145,2926996,7195,24.581516339619185,49.53884460381907,2919020,781
2020-07-15,La Paz,7662,625,139,2926996,6898,23.566824143251306,47.48896137883345,2919334,764
2020-07-14,La Paz,7402,594,134,2926996,6674,22.80153440592334,45.780725358012106,2919594,728
2020-07-13,La Paz,7124,561,133,2926996,6430,21.967915227762525,45.43907815384784,2919872,694
2020-07-12,La Paz,6703,533,131,2926996,6039,20.63207465948023,44.755783745519295,2920293,664
2020-07-11,La Paz,6366,496,127,2926996,5743,19.620798935153996,43.38919492886222,2920630,623
2020-07-10,La Paz,5704,464,116,2926996,5124,17.506002741377166,39.63107568305526,2921292,580
2020-07-09,La Paz,5376,433,114,2926996,4829,16.49814348909257,38.947781274726715,2921620,547
2020-07-08,La Paz,5151,430,110,2926996,4611,15.753352584014465,37.58119245806964,2921845,540
2020-07-07,La Paz,4876,425,109,2926996,4342,14.83432160481258,37.23954525390537,2922120,534
2020-07-06,La Paz,4685,418,107,2926996,4160,14.212523693233608,36.556250845576834,2922311,525
2020-07-05,La Paz,4205,411,107,2926996,3687,12.596532417536615,36.556250845576834,2922791,518
2020-07-04,La Paz,3872,400,100,2926996,3372,11.520343724419165,34.164720416426945,2923124,500
2020-07-03,La Paz,3634,396,93,2926996,3145,10.744804570966274,31.773189987277057,2923362,489
2020-07-02,La Paz,3397,394,93,2926996,2910,9.94193364118024,31.773189987277057,2923599,487
2020-07-01,La Paz,3241,394,84,2926996,2763,9.439712251058765,28.698365149798633,2923755,478
2020-06-30,La Paz,3029,391,82,2926996,2556,8.732502538438727,28.015070741470094,2923967,473
2020-06-29,La Paz,2967,388,82,2926996,2497,8.530930687981808,28.015070741470094,2924029,470
2020-06-28,La Paz,2882,382,76,2926996,2424,8.281528228941891,25.965187516484477,2924114,458
2020-06-27,La Paz,2774,376,74,2926996,2324,7.9398810247776215,25.281893108155938,2924222,450
2020-06-26,La Paz,2580,368,69,2926996,2143,7.321499585240294,23.573657087334592,2924416,437
2020-06-25,La Paz,2373,365,68,2926996,1940,6.627955760786827,23.23200988317032,2924623,433
2020-06-24,La Paz,2161,360,65,2926996,1736,5.930995464291717,22.207068270677514,2924835,425
2020-06-23,La Paz,1966,351,64,2926996,1551,5.2989481365878195,21.865421066513246,2925030,415
2020-06-22,La Paz,1918,351,63,2926996,1504,5.138373950630612,21.523773862348975,2925078,414
2020-06-21,La Paz,1780,345,63,2926996,1372,4.687399641133776,21.523773862348975,2925216,408
2020-06-20,La Paz,1545,332,55,2926996,1158,3.95627462422224,18.79059622903482,2925451,387
2020-06-19,La Paz,1469,332,54,2926996,1083,3.700039221099038,18.44894902487055,2925527,386
2020-06-18,La Paz,1386,330,53,2926996,1003,3.4267214577676226,18.10730182070628,2925610,383
2020-06-17,La Paz,1298,324,51,2926996,923,3.153403694436207,17.42400741237774,2925698,375
2020-06-16,La Paz,1254,322,50,2926996,882,3.0133283407288567,17.082360208213473,2925742,372
2020-06-15,La Paz,1213,322,50,2926996,841,2.873252987021506,17.082360208213473,2925783,372
2020-06-14,La Paz,1149,314,49,2926996,786,2.6853470247311577,16.7407130040492,2925847,363
2020-06-13,La Paz,1064,304,45,2926996,715,2.4427775097745266,15.374124187392125,2925932,349
2020-06-12,La Paz,983,291,43,2926996,649,2.2172903550261087,14.690829779063586,2926013,334
2020-06-11,La Paz,932,289,42,2926996,601,2.0532996970272595,14.349182574899316,2926064,331
2020-06-10,La Paz,842,285,40,2926996,517,1.766316045529273,13.665888166570777,2926154,325
2020-06-09,La Paz,804,276,38,2926996,490,1.6740713004049204,12.982593758242238,2926192,314
2020-06-08,La Paz,754,272,38,2926996,444,1.5169135864893564,12.982593758242238,2926242,310
2020-06-07,La Paz,754,272,38,2926996,444,1.5169135864893564,12.982593758242238,2926242,310
2020-06-06,La Paz,737,269,38,2926996,430,1.4690829779063586,12.982593758242238,2926259,307
2020-06-05,La Paz,692,263,38,2926996,391,1.3358405682822936,12.982593758242238,2926304,301
2020-06-04,La Paz,661,254,36,2926996,371,1.2675111274494397,12.2992993499137,2926335,290
2020-06-03,La Paz,635,251,35,2926996,349,1.1923487425333004,11.95765214574943,2926361,286
2020-06-02,La Paz,614,249,32,2926996,333,1.1376851898670173,10.932710533256623,2926382,281
2020-06-01,La Paz,555,248,31,2926996,276,0.9429462834933836,10.591063329092353,2926441,279
2020-05-31,La Paz,507,244,28,2926996,235,0.8028709297860331,9.566121716599545,2926489,272
2020-05-30,La Paz,478,242,28,2926996,208,0.7106261846616805,9.566121716599545,2926518,270
2020-05-29,La Paz,444,237,27,2926996,180,0.614964967495685,9.224474512435275,2926552,264
2020-05-28,La Paz,423,234,26,2926996,163,0.5568849427877592,8.882827308271006,2926573,260
2020-05-27,La Paz,415,228,24,2926996,163,0.5568849427877592,8.199532899942467,2926581,252
2020-05-26,La Paz,410,219,24,2926996,167,0.57055083095433,8.199532899942467,2926586,243
2020-05-25,La Paz,403,210,24,2926996,169,0.5773837750376154,8.199532899942467,2926593,234
2020-05-24,La Paz,394,209,24,2926996,161,0.5500519987044739,8.199532899942467,2926602,233
2020-05-23,La Paz,386,201,24,2926996,161,0.5500519987044739,8.199532899942467,2926610,225
2020-05-22,La Paz,381,184,23,2926996,174,0.5944661352458288,7.857885695778197,2926615,207
2020-05-21,La Paz,375,181,22,2926996,172,0.5876331911625434,7.516238491613928,2926621,203
2020-05-20,La Paz,363,180,21,2926996,162,0.5534684707461165,7.174591287449658,2926633,201
2020-05-19,La Paz,355,174,21,2926996,160,0.5466355266628311,7.174591287449658,2926641,195
2020-05-18,La Paz,342,171,20,2926996,151,0.5158872782880468,6.832944083285389,2926654,191
2020-05-17,La Paz,335,166,19,2926996,150,0.5124708062464042,6.491296879121119,2926661,185
