Obs,year,price,real_price,neighbourhood,area,land,rooms,baths,houseage,dist2citycntr,dist2ringroad,dist2dump
1,1989,60047,60047,4,"1,657","4,580",7,1,49,"3,000",997,"10,669"
2,1989,39984,39984,4,"2,614","8,367",6,2,83,"3,999","1,002","11,044"
3,1989,34023,34023,4,"1,142","4,998",6,1,58,"3,996","1,003","11,499"
4,1989,63891,63891,4,"1,135","10,004",5,1,10,"4,000","1,003","11,878"
5,1989,44036,44036,4,"1,864","10,003",5,1,47,"4,000","1,998","12,078"
6,1989,45985,45985,4,"1,784","9,496",6,3,77,"2,995","2,004","9,998"
7,1989,56001,56001,4,"1,702","10,874",6,2,22,"3,999","1,995","11,717"
8,1989,38453,38453,4,"1,555","3,868",6,2,78,"2,999","1,999","10,244"
9,1989,60469,60469,4,"1,644","7,000",8,2,43,"2,999","1,997","10,460"
10,1989,55010,55010,4,"1,444","7,952",5,2,40,"2,997","2,001","10,986"
11,1989,38951,38951,4,"1,443","4,988",6,1,77,998,"3,998","8,631"
12,1989,41027,41027,0,"1,480","8,019",5,1,37,"5,996","4,005","12,151"
13,1989,50904,50904,0,"1,291","12,536",6,2,19,"5,004","3,996","12,432"
14,1989,51962,51962,0,"1,278","7,861",6,1,33,"9,004","7,000","16,787"
15,1989,48965,48965,0,"1,477","15,669",6,1,18,"9,001","7,999","17,170"
16,1989,80008,80008,4,"1,838","9,246",7,2,58,"2,000","2,999","9,946"
17,1989,50045,50045,4,"1,535","10,488",6,2,56,"2,003","2,996","10,037"
18,1989,58984,58984,4,"2,461","9,397",5,2,69,"2,001","2,997","9,967"
19,1989,42025,42025,4,751,"7,996",4,1,26,"2,998","3,998","10,594"
20,1989,71519,71519,4,"2,109","13,365",5,2,22,"3,998","3,997","11,722"
21,1989,43031,43031,4,"1,000","8,004",4,1,23,"4,002","4,997","11,746"
22,1989,48023,48023,4,"1,413","10,373",6,2,32,"5,000","4,995","12,534"
23,1989,37549,37549,2,"2,351","43,562",7,2,129,"13,995","13,996","19,580"
24,1989,58989,58989,2,"1,220","44,866",6,1,15,"17,995","17,997","24,043"
25,1989,59003,59003,2,"2,131","44,175",6,2,7,"18,001","17,998","22,207"
26,1989,94048,94048,2,"2,292","25,249",7,3,0,"16,001","16,998","21,661"
27,1989,95890,95890,2,"2,462","48,268",7,3,0,"16,997","16,996","21,725"
28,1989,95015,95015,2,"2,236","44,912",7,3,0,"17,004","17,002","21,921"
29,1989,95903,95903,2,"2,464","50,804",7,3,0,"16,998","16,996","21,969"
30,1989,91039,91039,2,"2,235","53,000",7,3,1,"16,001","17,000","21,619"
31,1989,96949,96949,2,"2,459","41,465",7,3,0,"16,003","16,000","21,463"
32,1989,47002,47002,4,"2,571","12,566",8,2,105,"1,998","4,004","9,448"
33,1989,68478,68478,4,"1,380","12,874",6,2,18,"2,995","4,005","10,226"
34,1989,35999,35999,0,"2,072","9,663",6,2,187,"8,996","8,998","16,124"
35,1989,90023,90023,0,"2,351","26,889",7,3,13,"7,996","7,998","14,984"
36,1989,66874,66874,0,"1,755","12,517",10,2,179,"9,998","8,996","17,090"
37,1989,43953,43953,4,"1,866","12,501",6,2,1,"2,998","6,002","6,064"
38,1989,43537,43537,4,"1,493","4,996",6,1,48,"1,997","5,998","6,604"
39,1989,40049,40049,4,"1,867","5,003",5,1,57,"2,001","6,002","6,797"
40,1989,45981,45981,4,"1,265","9,998",7,2,4,"3,000","6,004","6,049"
41,1989,47962,47962,0,"1,036","15,431",5,1,21,"3,003","4,999","10,018"
42,1989,61047,61047,4,"1,800","13,034",7,2,12,"4,003","6,001","11,230"
43,1989,55465,55465,4,"1,976","20,087",6,2,29,"4,000","4,997","11,383"
44,1989,63047,63047,0,"2,085","16,933",6,1,22,"5,998","7,001","12,057"
45,1989,31963,31963,0,"1,461","29,131",6,2,148,"6,004","7,002","12,503"
46,1989,31976,31976,0,"2,109","12,500",6,2,26,"7,001","7,001","14,001"
47,1989,82043,82043,0,"1,965","25,181",6,2,14,"11,998","11,999","18,270"
48,1989,50997,50997,0,"1,161","45,004",5,1,18,"13,998","16,997","5,150"
49,1989,83015,83015,1,"3,866","51,058",6,2,39,"10,001","14,005","7,969"
50,1989,99984,99984,0,"2,249","43,997",7,3,10,"14,002","15,998","15,953"
51,1989,131516,131516,0,"2,599","44,002",9,3,8,"14,005","16,001","16,029"
52,1989,37481,37481,0,"2,280","43,563",4,1,20,"17,002","17,995","22,128"
53,1989,48984,48984,4,"1,875","9,793",6,2,69,"3,004","5,996","6,671"
54,1989,53959,53959,4,"1,570","8,792",6,2,13,"4,003","5,996","10,681"
55,1989,56868,56868,0,"2,034","10,989",6,2,38,"4,005","7,000","5,334"
56,1989,62017,62017,0,"1,315","20,551",6,2,22,"4,000","7,997","5,742"
57,1989,48030,48030,0,"1,079","21,798",5,2,21,"4,002","8,003","5,752"
58,1989,48009,48009,4,"3,458","11,417",7,2,55,"3,997","6,996","5,935"
59,1989,52972,52972,4,"1,591","12,697",5,2,28,"3,004","7,005","6,760"
60,1989,49050,49050,4,917,"13,996",8,1,53,"4,000","7,003","7,640"
61,1989,30970,30970,4,930,"4,585",5,1,27,"5,003","6,995","11,396"
62,1989,56885,56885,0,"1,423","21,120",6,2,14,"3,997","7,003","6,753"
63,1989,33999,33999,0,989,"1,714",5,1,78,"9,995","10,004","15,599"
64,1989,98047,98047,0,"3,791","35,940",9,4,152,"9,999","11,000","16,183"
65,1989,85491,85491,0,"2,539","26,723",7,3,2,"11,997","12,003","17,653"
66,1989,122454,122454,0,"2,205","50,091",7,3,0,"12,004","11,998","18,547"
67,1989,184958,184958,1,"5,074","132,420",9,4,189,"14,003","17,000","14,548"
68,1989,67460,67460,1,"1,353","44,774",5,2,5,"16,996","19,002","16,677"
69,1989,120040,120040,1,"2,166","44,062",7,3,8,"16,000","18,999","16,207"
70,1989,79019,79019,1,"1,994","43,558",7,3,1,"19,000","21,001","19,897"
71,1989,77520,77520,1,"1,999","147,672",7,3,1,"18,004","20,999","19,760"
72,1989,57972,57972,1,"1,356","544,495",6,2,26,"19,996","22,002","20,979"
73,1989,61912,61912,1,"1,414","44,428",9,3,0,"18,996","21,002","20,193"
74,1989,79864,79864,1,"1,542","46,176",7,3,2,"18,997","20,999","20,966"
75,1989,62404,62404,1,"1,297","46,606",7,2,0,"20,001","22,001","20,947"
76,1989,89454,89454,1,"2,241","43,556",7,2,1,"22,000","23,999","23,014"
77,1989,89485,89485,6,"2,436","43,560",7,3,1,"20,995","23,005","23,149"
78,1989,94934,94934,6,"2,386","43,563",7,3,0,"21,996","24,002","23,202"
79,1989,85922,85922,6,"1,865","56,389",6,2,0,"24,003","25,997","27,096"
80,1989,92891,92891,6,"2,034","49,733",7,3,0,"23,996","25,996","26,994"
81,1989,84896,84896,6,"2,077","43,960",7,3,0,"24,004","26,004","27,016"
82,1989,85949,85949,6,"1,965","44,463",7,3,0,"24,000","25,997","26,743"
83,1989,85899,85899,6,"2,284","43,992",7,3,0,"24,004","25,997","26,628"
84,1989,97942,97942,6,"2,462","43,557",7,3,0,"23,997","24,996","26,367"
85,1989,78440,78440,6,"1,866","45,298",6,2,0,"23,999","24,998","26,311"
86,1989,91411,91411,6,"2,740","43,996",8,2,0,"24,001","25,996","27,003"
87,1989,106480,106480,6,"2,238","43,996",7,3,0,"24,996","25,997","27,051"
88,1989,109490,109490,6,"2,782","43,992",7,3,0,"23,996","25,996","26,981"
89,1989,148030,148030,1,"2,783","43,557",7,3,2,"13,998","16,000","15,635"
90,1989,75049,75049,1,"1,540","48,352",6,2,12,"16,003","18,996","17,676"
91,1989,90430,90430,1,"2,798","43,562",7,3,2,"13,999","16,000","15,645"
92,1989,125008,125008,1,"2,795","43,998",9,3,2,"13,997","16,003","15,593"
93,1989,123023,123023,6,"2,874","104,544",9,3,159,"21,995","23,003","33,261"
