Category: All categories

Region,Facebook: (8/13/19 - 8/13/20)
Maine,100
Wyoming,99
South Dakota,98
Montana,97
West Virginia,96
Iowa,90
Vermont,88
New Mexico,86
Alabama,85
North Dakota,84
Idaho,83
Michigan,83
Mississippi,82
Wisconsin,82
New Hampshire,81
South Carolina,81
Tennessee,81
Oklahoma,81
Kentucky,80
Indiana,80
Arkansas,80
Nebraska,79
Ohio,78
Kansas,78
North Carolina,77
Alaska,76
Oregon,76
Missouri,73
Pennsylvania,73
Delaware,72
Minnesota,72
Louisiana,71
Georgia,70
Rhode Island,70
Washington,70
Arizona,69
Illinois,67
Colorado,66
Virginia,65
Florida,64
Nevada,62
Maryland,62
Massachusetts,62
Utah,61
Texas,61
Connecticut,60
New Jersey,58
New York,54
California,52
Hawaii,47
District of Columbia,44
