Category: All categories

Region,iOS: (8/13/19 - 8/13/20)
California,100
Hawaii,100
Oregon,89
Washington,89
Utah,88
Massachusetts,88
New Jersey,83
New York,83
Alaska,83
Virginia,81
Connecticut,80
Georgia,79
Nevada,79
Texas,79
Maryland,79
Colorado,79
New Hampshire,78
Delaware,78
District of Columbia,78
Illinois,78
Vermont,77
Rhode Island,75
North Carolina,75
Florida,75
Arizona,74
Minnesota,73
Pennsylvania,72
Mississippi,72
Tennessee,72
Maine,72
Kansas,71
Michigan,71
Kentucky,71
Indiana,71
Alabama,70
Missouri,70
Ohio,69
Arkansas,69
South Carolina,69
Oklahoma,69
Louisiana,68
Idaho,68
New Mexico,67
West Virginia,66
Nebraska,66
Wisconsin,65
Iowa,63
Wyoming,61
North Dakota,59
Montana,58
South Dakota,56
