Category: All categories

City,Python: (3/23/20 - 3/23/21),JavaScript: (3/23/20 - 3/23/21),The C++ Programming Language: (3/23/20 - 3/23/21),C: (3/23/20 - 3/23/21),Java: (3/23/20 - 3/23/21)
Stanford,,,,,
Mountain View,39%,20%,,3%,38%
Sunnyvale,51%,16%,,4%,29%
Cupertino,48%,16%,,7%,29%
Palo Alto,62%,16%,,4%,18%
Albany,66%,12%,,9%,13%
Newark,50%,15%,,3%,32%
Berkeley,68%,14%,,8%,10%
Fremont,51%,16%,,5%,28%
Foster City,,,,,
Saratoga,,,,,
Los Altos,,,,,
Menlo Park,65%,15%,,5%,15%
Emeryville,,,,,
San Mateo,55%,22%,,4%,19%
San Ramon,51%,15%,,6%,28%
Coto de Caza,,,,,
East Palo Alto,,,,,
Davis,62%,15%,,12%,11%
Cambrian Park,,,,,
Redwood City,55%,21%,,6%,18%
Pleasanton,47%,20%,,6%,27%
Santa Clara,54%,16%,,7%,23%
Campbell,58%,20%,,4%,18%
San Jose,,,,,
Felton,56%,19%,,16%,9%
Livermore,53%,15%,,4%,28%
Union City,,,,,
San Carlos,50%,21%,,4%,25%
Goleta,,,,,
San Francisco,50%,29%,,5%,16%
Irvine,52%,19%,,8%,21%
Blackhawk,,,,,
Larkspur,50%,24%,,3%,23%
La Habra,48%,19%,,4%,29%
Burlingame,,,,,
Half Moon Bay,,,,,
Morro Bay,52%,15%,,13%,20%
Hawthorne,,,,,
Alameda,,,,,
San Bruno,,,,,
South San Francisco,,,,,
Arcadia,,,,,
Santa Barbara,58%,24%,,6%,12%
Orangevale,,,,,
Pasadena,61%,21%,,6%,12%
Walnut Creek,55%,19%,,4%,22%
San Diego,51%,21%,,8%,20%
Oakland,48%,31%,,4%,17%
Thousand Oaks,,,,,
Hayward,49%,25%,,6%,20%
Daly City,,,,,
Santa Monica,,,,,
Los Angeles,46%,25%,,8%,21%
Lake Forest,,,,,
Redondo Beach,,,,,
Mountain House,,,,,
Torrance,,,,,
Encinitas,,,,,
Carlsbad,,,,,
Richmond,,,,,
Newport Beach,,,,,
Gilroy,,,,,
Glendale,,,,,
Burbank,,,,,
Mission Viejo,,,,,
Fullerton,,,,,
Tustin,,,,,
Concord,,,,,
Huntington Beach,,,,,
Anaheim,,,,,
Camarillo,,,,,
Santa Rosa,,,,,
Oceanside,,,,,
Riverside,49%,19%,,11%,21%
Long Beach,41%,27%,,11%,21%
Santa Clarita,,,,,
Santa Ana,,,,,
Sacramento,34%,28%,,14%,24%
Fresno,,,,,
Bakersfield,,,,,
