Characteristics: Table 1
Ticker,Name,Sector,Price,Dividend Yield,Years of Dividend Increases,1-Year Dividend Growth,5-Year Dividend Growth (Annualized),Dividends Per Share (TTM),Market Cap ($M),Forward P/E Ratio,Payout Ratio,Beta
OVV,Ovintiv Inc,Energy,23,0.016169675127921,,0,0.442699905907214,0.371902527942189,5976.797894,N/A,N/A,2.2618818783756
MIME,Mimecast Ltd,Technology,45.4,0,,,,0,2922.975897,110.292653256358,0,1.0857325909879
FHI,Federated Hermes Inc,Financial Services,29.82,0.026094977267537,,0,0.0155112783974816,0.778152222117973,2951.17933,9.41154871403514,0.239431452959376,1.56997697686306
GT,Goodyear Tire & Rubber Co.,Consumer Cyclical,17.95,0,,,,0,4217.892651,N/A,0,1.86587555492656
CIT,CIT Group Inc,Financial Services,54.49,0.025265827315892,,0,0.184664452542244,1.37673493044299,5378.593852,N/A,N/A,2.10297006416157
AA,Alcoa Corp,Basic Materials,36.75,0,,,,0,6847.303622,N/A,0,2.00894517518369
CIM,Chimera Investment Corp,Real Estate,12.78,0.0938967136150235,0,-0.4,-0.0897178984869599,1.1527390468997,2946.544148,195.083696226165,17.2824444812548,1.27712396419349
KAR,KAR Auction Services Inc,Consumer Cyclical,15.64,0,,,,0,1951.263604,N/A,0,1.75034540973247
BKU,BankUnited Inc,Financial Services,46.38,0.019653661326307,,0,0.0183608813392091,0.911536812314137,4325.578847,22.8901728157231,0.442493598210746,1.81028622630274
CHX,ChampionX Corporation,N/A,20.36,0,,,,0,4092.731977,N/A,0,
APG,APi Group Corporation,N/A,21.4,0,,,,0,4293.955325,0,N/A,1.02331079200676
WCC,"Wesco International, Inc.",Industrials,91.39,0,,,,0,4585.95084,65.1219215820565,0,1.86667101803918
CVET,Covetrus Inc,Healthcare,28.8,0,,,,0,3924.639677,0,N/A,1.4848305557934
VIR,Vir Biotechnology Inc,Healthcare,49.12,0,,,,0,6286.617649,0,N/A,1.22690366167033
CMD,Cantel Medical Corp,Healthcare,88.4,0,,,,0,3736.423839,79.9457354815243,0,1.54652778128644
HGV,Hilton Grand Vacations Inc,Consumer Cyclical,44.14,0,,,,0,3775.225518,N/A,0,1.75543794285309
X,United States Steel Corp.,Basic Materials,23.78,0.001679861326812,,0,-0.275220336322305,0.039947102351607,6391.644117,N/A,N/A,2.04719523538571
ONTO,Onto Innovation Inc.,Technology,69.88,0,,,,0,3421.078892,0,N/A,1.62234061789117
RPAI,Retail Properties of America Inc,Real Estate,11.88,0.015060419363511,,,,0.178917782038514,2551.022789,178.468083744228,2.67041465729125,1.84035244806615
CXP,Columbia Property Trust Inc,Real Estate,18.03,0.045563775749694,,0,-0.0688500849051623,0.821514876766989,2071.130477,17.8993213772362,0.831408639577967,1.27291957116895
TCBI,"Texas Capital Bancshares, Inc.",Financial Services,66.9,0,,,,0,3383.889639,23.5281536263324,0,1.40027191396279
BIPC,Brookfield Infrastructure Corp,Financial Services,73.01,0.028699972575418,,,,2.09538499773134,3282.136222,0,N/A,0.816893216142181
TWO,Two Harbors Investment Corp,Real Estate,7.66,0.0966057441253264,0,2.4,-0.0586649772894917,0.598957781845801,2096.626314,N/A,N/A,1.40087305287129
CRNC,Cerence Inc,Technology,98.64,0,,,,0,3719.981517,0,N/A,1.64270455875935
NAVI,Navient Corp,Financial Services,15.36,0.0416666666666667,0,0,0,0.626024051376812,2771.846892,6.72778371728155,0.296693863211759,1.68957443963194
REZI,Resideo Technologies Inc,Industrials,30.4,0,,,,0,2483.910858,67.1327258810811,0,1.99334402028636
