#,Name,Type,Division,SubDivision,Url,NameLong,Displacement Standard (tons),Displacement Full load (tons),Length (m),Beam (m),Draft (m),Speed (knots),Range,Autonomy (days),Propulsion,Armament,Electronics,Complement,Cargo,Passengers,Endurance (days),Special equipment,Capacity (tons),Capacity (c.m.)
121,Moskva,Guided Missile Cruiser,,,https://www.kchf.ru/eng/ship/cruisers/slava.htm,"Guided 
Missile Cruiser Moskva (ex-Slava) Project 1164 / Slava Class",9300,11280,186,"20,8","6,28","32,5","8070 nmi (18 knots), 2500 nmi (30 knots), 2200 nmi (32,5 knots)",30,"2x71000 hp GTA M-21 (10000 hp M-70, 2x27500 hp M-8KF, 1x6000 hp steam turbine), 2 fixed pitch propellers, 6x1500 kW turbine-type generators, 6x1250 kW turbine-type generators",8x2 SM-248 launchers «Vulkan» anti-ship missile complex – Fire control «Argon-1164» (16 P-1000 missiles (3M70) 8x1 B-204 3M41 «Fort» SAM system launchers (64 V-500R missiles (5V55RM)) 2x2 ZIF-122 4K33 «Osa-M» SAM system launchers (40 9M33 missiles) – 4R-33 fire control system 1x2 130 mm AK-130 (600 rounds) – MR-184 «Lev-218» fire control system 6x6 30 mm AK-630 (48000 rounds) – 2 MR-123 «Vympel-A» fire control systems 2x1 45 mm 21KM 2x5 533 mm PTA-53-1134 torpedo tubes (10 SET-65 torpedoes) 2x12 RBU-6000 «Smerch-2» (144 RGB-60) – «Burya» fire control system 1 Ka-27 helicopter,"MR-800 «Flag» radar complex (MR-600 «Voskhod» air/surface search radar, MR-710 «Fregat-M» air/surface search radar , 2 MP-152 «Gurzuf-B» ESM Radar systems, MR-262 «Ograda» ESM Radar system, MP-401 «Start» ESM Radar system, MP-407 «Start-2» ESM Radar system, MRP-52 «Koltco» reconnaissance radar, 2 «Vaygach» navigation radars, MGK-335 «Platina» sonar, «Lesorub-1164» combat information control system, «Korvet-5» satellite communication system, R-790 «Tcunami-BM» satellite communication system, «Kristall» satellite communication system, «Tayfun-2» communication system, «Salgir-UZ» navigational complex PK-10 «Smely» decoy RL (12 KT-216 launchers), PK-2M decoy RL (2 ZIF-121 launchers) – «Tertciya» fire control system",485 (66 officers),,,,,,
150,Saratov,Large Landing Ship,,,https://www.kchf.ru/eng/ship/amphibious/saratov.htm,"Large 
Landing Ship Saratov Project 1171 / Alligator Class",2885,4946,"113,1","15,6","3,655","17,3","6312 nmi (17,3 knots), 7654 nmi (16,3 knots), 9150 nmi (9 knots)",15,"2x4500 hp 58A diesels2 fixed pitch propellers, 2x300 kW DGR-300/500-1 diesel generators, 1 DGR-100/750 diesel generator",1x2 57 mm ZIF-31B – 1200 rounds 3x4 MTU-4S launchers 9K34 Strela-3 SAM system launchers – 24 9M36 missiles (on Petr Ilyichev - 16 missiles),"2 Don navigation radars, Khrom-KM IFF, MG-7 Braslet anti-saboteur sonar","77 (6 officers, 9 warrant-officers)",20 main battle tanks and 313 troops or 47 BTR and 313 troops or 52 army trucks and 313 troops,,,,,
861,Ladny,Guided Missile Frigate,30th Surface Ship Division,,https://www.kchf.ru/eng/ship/frigates/ladny.htm,"Guided 
Missile Frigate Ladny Project 1135 / Krivak I Class",2835,3190,123,"14,2","4,5",32,"4000 nmi (14 knots), 3515 nmi (18 knots), 3155 nmi (24 knots), 1240 nmi (32 knots)",30,"1x46000 hp M7K gas-turbine (2x6000 hp M62 gas-turbines, 2x17000 hp M8K forsage gas-turbines), 2 fixed pitch propellers, 5x500 kW DGAG-500/G-MSH diesel-generators","1x4 KT-M-1135 URK-5 Rastrub-B launcher (4 85RU anti-submarine guided missiles) - SU-85KS-I Musson-U fire control system2x2 76 mm AK-726 (2000 rounds) – MR-105 Turel fire control system2x2 ZIF-122 SAM 4K33 Osa-M launchers (40 9M33 missiles) – 4R-33 fire control system2x4 533 mm ChTA-53-1135 (4 SET-65 torpedoes, 4 53-65K torpedoes) – SU-504A Drakon-1135 fire control system 2x12 RBU-6000 Smerch-2 (96 RGB-60)","MR-310A Angara-A air/surface search radar, Volga navigation radar, Don navigation radar, MP-401S Start-S ESM radar system, Nickel-KM and Khrom-KM IFF, ARP-50R radio direction finder, MG-332 Titan-2 sonar, MG-325 Vega sonar, MG-26 Hosta underwater communication system, 2 MG-7 Braslet anti-saboteur sonars, MGS-400K sonar, KMG-12 Kassandra , MI-110R, MI-110K, KPF-2-2, R-785 Tayfun communication complex PK-16 ship-borne decoy dispenser system (4 KL-101 launcher)",192 (23 officers),,,,,,
868,Pytlivy,Guided Missile Frigate,30th Surface Ship Division,,https://www.kchf.ru/eng/ship/frigates/pitlivy.htm,"Guided 
Missile Frigate Pitlivy Project 1135M / Krivak II Class",2935,3305,123,"14,2","4,5",32,"4000 nmi (14 knots), 3515 nmi (18 knots), 3155 nmi (24 knots), 1240 nmi (32 knots)",30,"1x46000 hp M7K gas-turbine (2x6000 hp M62 gas-turbines, 2x17000 hp M8K forsage gas-turbines), 2 fixed pitch propellers, 5x500 kW DGAG-500/G-MSH diesel-generators (or DGAS-500/1MSH)","1x4 KT-M-1135 URK-5 Rastrub-B launcher (4 85RU anti-submarine guided missiles) - SU-85KS-I Musson-U fire control system 2x1 100 mm AK-100 (1250 rounds) – MR-114 Lev-214 fire control system 2x2 ZIF-122 SAM Osa-MA (40 9M33M missiles) - 4R-33A fire control system 2x4 533 mm ChTA-53-1135 (4 SET-65 torpedoes, 4 53-65K torpedoes) – SU-504A Drakon-1135 fire control system 2x12 RBU-6000 Smerch-2 (96 RGB-60) 2x7 55 mm MRG-1 Ogonyok (420 RG-55, GRS-55 grenades) 18 IGDM-500 mines or 10 KSM mines or 14 KAM mines or 14 KB Krab mines or 10 Serpey mines or 4 PMR-1 mines or 7 PMR-2 mines or 7 MTPK-1 mines or 14 RM-1 mines or 12 UDM-2 mines","MR-310A Angara-A air/surface search radar, Volga navigation radar, Don navigation radar, MP-401S Start-S ESM radar system, Nickel-KM and Khrom-KM IFF (then Kremniy, from 1985 - Parol), ARP-50R radio direction finder, MG-332 Titan-2 sonar, MG-325 Vega sonar, MG-329 Bronza sonar, MG-26 Hosta underwater communication system, 2 MG-7 Braslet anti-saboteur sonars, MGS-400K sonar, KMG-12 Kassandra, MI-110R, MI-110K or MI-110KM, KPF-2-2, R-785 Tayfun communication complex PK-16 ship-borne decoy dispenser system (4 KL-101 launcher) – 128 AZ-TST-60, AZ-TSP-60UM (from 1991), AZ-TSTM-60U (from 1994) rounds",192 (23 officers),,,,,,
494,Admiral Grigorovich,Guided Missile Frigate,30th Surface Ship Division,,https://www.kchf.ru/eng/ship/frigates/admiral_grigorovich.htm,"Guided 
Missile Frigate Admiral Grigorovich Project 11356 / Admiral Grigorovich 
Class",3350,3860,"124,8","15,2","4,66",30,4850 nmi (14 knots),30,"1x46000 hp M7N1 (2x6000 hp gas turbines, 2x17000 hp forsage gas turbines), 2 fixed pitch propellers, 4x800 kW diesel-generators","1x8 VLS Kalibr-NK guided missile complex (8 missiles) 2x12 Shtil-1 SAM system VLS (24 missiles)) 1x1 100 mm – A-190-01 2x6 30 mm AK-630M 2x1 12,7 mm 6P58 Kord heavy machine guns8x1 SAM Igla-1Elaunchers 2x2 533 mm DTA-53-11356 torpedo tubes 1x12 RBU-6000 RPK-8E launcher 2x10 55 mm DP-65 grenade launcher 1 Ka-27 or Ka-31 helicopter1 Orlan-10 unmanned aerial vehicle","MR-710 Fregat-M1356), 3Ts-25EK air/surface search radar, MR-212/201-1 Vaygach-U navigation radar, Bridge-Masternavigation radar, Nucleus-2-6000A, TK-25» complex, MGK-335EM-03 Platina sonar, MG-757.1 Anapa-M anti-saboteur sonar, Trebovanie-M combat information control system, Tsentavr satellite communication complex, PK-10 Smely decoy RL (4 KT-216 launchers)",220,,,,,,
499,Admiral Makarov,Guided Missile Frigate,30th Surface Ship Division,,https://www.kchf.ru/eng/ship/frigates/admiral_makarov.htm,"Guided 
Missile Frigate Admiral Makarov Project 11356 / Admiral Grigorovich Class",3350,3860,"124,8","15,2","4,66",30,4850 nmi (14 knots),30,"1x46000 hp M7N1 (2x6000 hp gas turbines, 2x17000 hp forsage gas turbines), 2 fixed pitch propellers, 4x800 kW diesel-generators","1x8 VLS Kalibr-NK guided missile complex (8 missiles) 2x12 Shtil-1 SAM system VLS (24 missiles)) 1x1 100 mm – A-190-01 2x6 30 mm AK-630M 2x1 12,7 mm 6P58 Kord heavy machine guns8x1 SAM Igla-1Elaunchers 2x2 533 mm DTA-53-11356 torpedo tubes 1x12 RBU-6000 RPK-8E launcher 2x10 55 mm DP-65 grenade launcher 1 Ka-27 or Ka-31 helicopter1 Orlan-10 unmanned aerial vehicle","MR-710 Fregat-M1356), 3Ts-25EK air/surface search radar, MR-212/201-1 Vaygach-U navigation radar, Bridge-Masternavigation radar, Nucleus-2-6000A, TK-25» complex, MGK-335EM-03 Platina sonar, MG-757.1 Anapa-M anti-saboteur sonar, Trebovanie-M combat information control system, Tsentavr satellite communication complex, PK-10 Smely decoy RL (4 KT-216 launchers)",220,,,,,,
490,Admiral Essen,Guided Missile Frigate,30th Surface Ship Division,,https://www.kchf.ru/eng/ship/frigates/admiral_essen.htm,"Guided 
Missile Frigate Admiral Essen Project 11356 / Admiral Grigorovich Class",3350,3860,"124,8","15,2","4,66",30,4850 nmi (14 knots),30,"1x46000 hp M7N1 (2x6000 hp gas turbines, 2x17000 hp forsage gas turbines), 2 fixed pitch propellers, 4x800 kW diesel-generators","1x8 VLS Kalibr-NK guided missile complex (8 missiles) 2x12 Shtil-1 SAM system VLS (24 missiles)) 1x1 100 mm – A-190-01 2x6 30 mm AK-630M 2x1 12,7 mm 6P58 Kord heavy machine guns8x1 SAM Igla-1Elaunchers 2x2 533 mm DTA-53-11356 torpedo tubes 1x12 RBU-6000 RPK-8E launcher 2x10 55 mm DP-65 grenade launcher 1 Ka-27 or Ka-31 helicopter1 Orlan-10 unmanned aerial vehicle","MR-710 Fregat-M1356), 3Ts-25EK air/surface search radar, MR-212/201-1 Vaygach-U navigation radar, Bridge-Masternavigation radar, Nucleus-2-6000A, TK-25» complex, MGK-335EM-03 Platina sonar, MG-757.1 Anapa-M anti-saboteur sonar, Trebovanie-M combat information control system, Tsentavr satellite communication complex, PK-10 Smely decoy RL (4 KT-216 launchers)",220,,,,,,
,RK-1078,Harbor Boat,30th Surface Ship Division,,,,,,,,,,,,,,,,,,,,,
,RK-1210,Harbor Boat,30th Surface Ship Division,,https://www.kchf.ru/eng/ship/boats/rk1210.htm,"Boat 
RK-1210 Project 371U","7,785","9,83","12,56","3,23","0,63","13,5",140 mni (13 knots),,"1x150 hp 3D6 diesel, 1 fixed pitch propeller",,,2,,11,,,,
,RK-1287,Harbor Boat,30th Surface Ship Division,,,,,,,,,,,,,,,,,,,,,
