TypeLong,Name,Builders,#,Laid down,Launched,Commissioned,Status,Type,Namesake,Base,Displacement,Length,Beam,Draught,Engine,Installed power,Propulsion,Speed,Range,Endurance,Complement,Naval artillery,Anti-aircraft warfare,Armament,Anti-submarine missile,Torpedo tube,Aircraft carried,Navigation,Sensors and processing systems,Electronic warfare & decoys,Tactical ballistic missile,Value
Ракетный крейсер проекта 1164 «Атлант»,«Москва»,Судостроительный завод имени 61 коммунара,121,05.11.1976,27.07.1979,13.12.1982,Sunk,гвардейский ракетный крейсер,Москва,Севастополь,11 490 т (полное),"186,5 м","20,8 м","8,4 м","газотурбинная установка, 4 × 22 500 л. с., 2 × 10 000 л. с.","форсажные 4 × 22 500 л. с., маршевые 2 × 10 000 л. с.",2,"32 узла (полная), 16 узлов (экономическая)","2500 морских миль (30 узл.), 6000 морских миль (18 узл.)",30 суток,"510 (по данным РИА Новости — 416 человек, в том числе 38 офицеров)[1]",1 × 2 АУ АК-130,6 × 6 ЗУ АК-630,"8 × 2 ПУ ПКРК П-1000 Вулкан8 × 8 ПУ ЗРК С-300Ф «Форт», 2 × 2 ЗРК «Оса-МА»",2 РБУ-6000,2 пятитрубных 533-мм торпедных аппарата,1 вертолёт Ка-27,,,,,
Большой десантный корабль проекта 1171,Саратов,Прибалтийский ССЗ «Янтарь»,150,05.02.1964,01.06.1964,1966,Sunk,большой десантный корабль,Саратов,Севастополь,"3400 т (нормальное),4650 т (полное)","113,1 м","15,6 м","4,5 м",2 × М-58А-4,2 × 9000 л. с.,2 ВФШ,"16,5 узлов (max)",4000 миль (15 узлов),,55 человек,1 × 57 мм ЗИФ-31Б,,2-3 × ПЗРК «Стрела-3»,,,,1-2 × НРЛС «Дон»,ответчик «Хром-КМ»,ПУС «Гроза-1171»  РЭБ «Слябинг»,,
Cпасательное буксирное судно проекта 22870,«Спасатель Васи́лий Бех»,ОАО «Астраханский судоремонтный завод»,,,02.08.2016,07.03.2017,Sunk,судно,,Севастополь,1670 т,57 м,14 м,"3,2 м",2  двигателя,2 × 2720 л. с.,,14 узлов,,,26 человек,,,,,,,,,,,
Сторожевые корабли проекта 1135 «Буревестник»,«Ладный»,ССЗ «Залив» (Керчь),861,25.05.1979,07.05.1980,25.02.1981,Active,сторожевой корабль,,Севастополь,3200 т,123 м,"14,2 м","4,28 м",2 газотурбинных агрегата М7К (маршевая газовая турбина ДО63 и форсажная ДК59),"форсажный режим: 36 000 л. с., маршевый: 12 000 л. с.","2 четырехлопастных, малошумных, с обтекателем винта. Вес каждого 7650 кг, диаметр — 3,5 м","32,2 узла; экономичная — 14 узлов",5000 морских миль на скорости 14 узлов,,"197 человек, в том числе 22 офицера","2×2-76,2мм артустановки АК-726-МР-105",,2×2 ПУ ЗРК «Оса-МА-2» (40 ракет 9M-33),УРК-5 «Раструб-Б» (4 ПУ),"2х4-533мм торпедных аппарата ЧТА-53-1135, 2×12 реактивных бомбомета РБУ-6000 «Смерч-2»",,,,,,
Сторожевые корабли проекта 1135 «Буревестник»,«Пытливый»,ССЗ «Янтарь» (Калининград),868,27.06.1979,16.04.1981,16.01.1982,In refit,сторожевой корабль,,Севастополь,3200 т,123 м,"14,2 м","4,28 м",2 газотурбинных агрегата М7К (маршевая газовая турбина ДО63 и форсажная ДК59),"форсажный режим: 36 000 л. с.,маршевый: 12 000 л. с.","2 четырёхлопастных, малошумных, с обтекателем винта. Вес каждого 7650 кг, диаметр — 3,5 м","32,2 узла;экономичная — 14 узлов",5000 морских миль на скорости 14 узлов,,"197 человека, в том числе 22 офицера",2×1 100-мм артустановки АК-100,,УРК-5 «Раструб» (4 ПУ)2×2 ПУ ЗРК «Оса-МА-2» (40 ракет 9M-33),,"2х4 533-мм торпедных аппарата ЧТА-53-1135,  2×12 реактивных бомбомёта РБУ-6000 «Смерч-2»",,,,,,
Фрегаты проекта 11356Р «Буревестник»,«Адмирал Григорович»,ССЗ «Янтарь» (Калининград),494,18.12.2010,14.03.2014,11.03.2016,Active,сторожевой корабль,"Григорович, Иван Константинович",Севастополь,3830 тонн (стандартное)  4035 тонн (полное),"124,8 м (наибольшая)","15,2 м","4,2 м 7,5 м (набольшая)",Газотурбинная энергетическая установка COGAG,41 220 КВт (56 044 л.с.)4 ДГ WCM-800 по 800 КВт,,14 узлов (экономическая)30 узлов (полная),4850 миль (на 14 узлах)[1],30 суток,180 человек (в т. ч.18 офицеров) и 20 морских пехотинцев,1 × 100 мм АУ А-190,2 × 30 мм АУ АК-630М[2],"1 × 8 противокорабельных ракет 3М55 «Оникс» или 3М54 (семейства «Калибр-НК»),2 × 12 УВП 3С90М (24 ЗУР 9М317М)[2], 8 × 1 ПЗРК «Игла-С», «Верба» (8 ЗУР)",1 × 8 противолодочных ракет 91Р1 (семейства «Калибр-НК»)1 × 12 РБУ-6000 (48 ПЛУР 90Р или РГБ-60),"2 × 2 - 533 мм ДТА-53-11356 (торпеды СЭТ-65, 53-65К)","1 вертолёт Ка-27ПЛ или Ка-31 в палубном ангаре, БПЛА «Орлан-10»",,"БИУС «Требование-М» или «Сигма», РЛС общего обнаружения «Фрегат-М2М», РЛС общего обнаружения «Позитив-М1.2» (зав.№01354-01356), НРЛС МР-212/201-1 «Вайгач-У»","Комплекс РЭБ ПК-10 «Смелый» (4 ПУ КТ-216), СУ 5П-10 «Пума», СУ МР-123-02 «Вымпел», ПУТС «Пурга-11356»",1 × 8 УКСК «Калибр-НК»,
Фрегаты проекта 11356Р «Буревестник»,«Адмирал Эссен»,ССЗ «Янтарь» (Калининград),490,08.07.2011,07.11.2014,07.06.2016,Active,сторожевой корабль,Николай Оттович фон Эссен,Севастополь,3830 т (стандартное)  4035 т (полное),"124,8 м (наибольшая)","15,2 м","4,2 м 7,5 м (наибольшая)",газотурбинная энергетическая установка,"2 х 30 450 л. с., ГТА М7Н1 (8450 л. с. маршевая ГТУ, 22 000 л. с. форсажная ГТУ), 4 ДГ WCM-800 по 800 КВт",,14 узлов (экономическая)30 узлов (полная),4850 миль (на 14 узлах)[1],30 суток,180 человек (в т. ч.18 офицеров) и 20 морских пехотинцев,1 × 100 мм АУ А-190,2 × 30 мм  АУ  АК-630М[2],"1 × 8 УВП 3С14[3], до 8 КР семейства Калибр (3M54T, 3M54T1)2 × 12  3С90M УВП, 24 x ЗУР 9М317М[2] 8 × 1 ПЗРК Игла-С, «Верба» (8 ЗУР)","1 × 8 УВП 3С14[3], до 8 противолодочных ракет семейства Калибр (91РT2)1× 12 РБУ-6000 (48 ПЛУР 90Р / 90Р1 или РГБ-60)","2 × 2 - 533 мм ДТА-53-11356 (торпеды СЭТ-65, 53-65К)","1 вертолёт Ка-27ПЛ или Ка-31 в палубном ангаре, БПЛА «Орлан-10»",,"БИУС «Требование-М» или «Сигма», РЛС общего обнаружения «Фрегат-М2М», РЛС общего обнаружения «Позитив-М1.2» (зав. № 01354-01356), НРЛС МР-212/201-1 «Вайгач-У»","Комплекс РЭБ ПК-10 «Смелый» (4 ПУ КТ-216), СУ 5П-10 «Пума», СУ МР-123-02 «Вымпел», ПУТС «Пурга-11356»",1 × 8 РК «Калибр» 3M14T,
Фрегаты проекта 11356Р «Буревестник»,«Адмирал Макаров»,ССЗ «Янтарь» (Калининград),499,29.02.2012,02.09.2015,27.12.2017,Active,сторожевой корабль,Степан Осипович Макаров,Севастополь,3830 т (стандартное)  4035 т (полное),"124,8 м (наибольшая)","15,2 м","4,2 м7,5 м (набольшая)",Дизель-газотурбинная энергетическая установка,41 220 (56 044 л.с.)4 ДГ WCM-800 по 800 КВт,,14 узлов (экономическая)30 узлов (полная),4850 миль (на 14 узлах)[1],30 суток,180 человек (в т.ч. 18 офицеров) и 20 морских пехотинцев,1 × 100 мм АУ А-190,2 × 30 мм АУ АК-630М[2],"1 × 8 ПКР 3М55 или 3М54T / 3М54T12 × 12 УВП 3С90М (24 × ЗУР 9М317М)[2], 8 × 1 ПЗРК «Игла-С» или «Верба» (8 × ЗУР)","1 × 8 ПЛР 91РT2, 1 × 12 РБУ-6000 (48 ПЛУР 90Р или РГБ-60)","2 × 2 - 533 мм ДТА-53-11356 (торпеды СЭТ-65, 53-65К)","1 вертолёт Ка-27ПЛ или Ка-31 в палубном ангаре, БПЛА «Орлан-10»",,"РЛС .mw-parser-output .ts-comment-commentedText{border-bottom:1px dotted;cursor:help}@media(hover:none){.mw-parser-output .ts-comment-commentedText:not(.rt-commentedText){border-bottom:0;cursor:auto}}ОО «Фрегат-М2М», РЛС ОО «Позитив-М1.2», НРЛС МР-212/201-1 «Вайгач-У»","БИУС «Требование-М» или «Сигма», Комплекс РЭБ ПК-10 «Смелый» (4 ПУ КТ-216), СУ 5П-10 «Пума», СУ МР-123-02 «Вымпел», ПУТС «Пурга-11356», РЛК 3Ц-25 «Гарпун-бал»",3М14Т «Калибр»,
Корветы проекта 20380 типа «Стерегущий»,«Меркурий»,ССЗ «Северная верфь» (Санкт-Петербург),,20.02.2015,12.03.2020,,Undergoing maintenance,корвет,,,1800 т (стандартное)2250 т (полное),"90 м (по КВЛ)104,5 м (наибольшая)",13 м (наибольшая),"7,95 м (наибольшая с бульбом)",4 дизеля 10Д492 вала,20 800 л.с. (15 300 КВт),2 пятилопастных гребных винта,27 узлов (полная)14 узлов (экономическая),4000 миль (на 14 узлах),15 суток,100 человек (в т. ч.14 офицеров),1 × 1 × 100 мм АУ А-190 (332 выстрела),2 × 6 × 30 мм АУ АК-630М (6000 выстрелов),"2 × 4 ПКРК «Уран» (8 ПКР Х-35)3 × 4 ЗРК «Редут»,ПЗРК «Игла», «Верба»",,2 × 4 324-мм комплекса Пакет-НК (8 торпед или антиторпед),"1 вертолёт типа Ка-27, палубный ангар",НРЛС «Пал-Н»,МФ РЛК «Заслон»ГАС «Заря-2»буксируемая ГАС «Минотавр-М»опускаемая ГАС «Анапа-М»система спутниковой навигации CH-3101,БИУС «Сигма-20380»СУО 5П-10 «Пума-02»системы РЭП: 4 × 10 × 122 мм ПУ ПК-10 «Смелый»средства РЭБ: ТК-25-2,,
Корветы проекта 20380 типа «Стерегущий»,«Строгий»,ССЗ «Северная верфь» (Санкт-Петербург),,20.02.2015,06.2019,,Under construction,корвет,,,1800 т (стандартное)2250 т (полное),"90 м (по КВЛ)104,5 м (наибольшая)",13 м (наибольшая),"7,95 м (наибольшая с бульбом)",4 дизеля 10Д492 вала,20 800 л.с. (15 300 КВт),2 пятилопастных гребных винта,27 узлов (полная)14 узлов (экономическая),4000 миль (на 14 узлах),15 суток,100 человек (в т. ч. 14 офицеров),1 × 1 × 100 мм АУ А-190 (332 выстрела),2 × 6 × 30 мм АУ АК-630М (6000 выстрелов),"2 × 4 ПКРК «Уран» (8 ПКР Х-35)3 × 4 ЗРК «Редут»,ПЗРК «Игла», «Верба»",,2 × 4 324-мм комплекс Пакет-НК (8 торпед или антиторпед),"1 вертолёт типа Ка-27, палубный ангар",НРЛС «Пал-Н»,МФ РЛК «Заслон»ГАС «Заря-2»буксируемая ГАС «Минотавр-М»опускаемая ГАС «Анапа-М»система спутниковой навигации CH-3101,БИУС «Сигма-20380»СУО 5П-10 «Пума-02»системы РЭП: 4 × 10 × 122 мм ПУ ПК-10 «Смелый»средства РЭБ: ТК-25-2,,
