Name,Type,NameOld,PossibleLosses,Project,Class,Status,StatusDate,HitBy,HitPlace
unknown,,,,,,,2022-02-25,,
unknown,,,,,,,2022-02-25,,
unknown,,,,,,,2022-03-06,,
P-352,Anti-saboteur Boat,,"P-345 Buyevlyanin, P-425 Chapaevsk",Project 03160,Raptor,destroyed,2022-03-22,2 x 9M113 ATGM,Mariupol
Saratov,Large Landing Ship,BDK-65,,Project 1171 ,Tapir,destroyed and sunk,2022-03-24,,Berdyansk
Caesar Kunikov,Large Landing Ship,BDK-64,,Project 775,Ropucha,dameged,2022-03-24,,Berdyansk
Novocherkassk,Large Landing Ship,BDK-46,,Project 775,Ropucha,dameged,2022-03-24,,Berdyansk
Moskva,Guided Missile Cruiser,,,Project 1164,Slava,destroyed and sunk,2022-04-14,Neptune AShM,"45°10’43.39″N, 30°55’30.54″E"
P-274,Anti-saboteur Boat,,"P-275, P-276",Project 03160,Raptor,destroyed,2022-05-02,Bayraktar TB2,
D-296,High-Speed Landing Craft,BK-16E,D-309,Project 02510,,destroyed,2022-05-02,Bayraktar TB2,Snake Island
P-275,Anti-saboteur Boat,,"P-274, P-276",Project 03160,Raptor,destroyed ,2022-05-07,Bayraktar TB2,Snake Island
P-276,Anti-saboteur Boat,,"P-274, P-275",Project 03160,Raptor,destroyed,2022-05-07,Bayraktar TB2,Maiupol
D-144,Landing Craft,,D-199,Project 11770,Serna,destroyed,2022-05-07,,
Spasatel Vasily Bekh,Salvage Tug,,,Project 22870,,destroyed and sunk,2022-06-17,Bayraktar TB2 and Harpoon AShM,
D-106,Landing Craft,,,Project 1176,Ondatra ,destroyed and sunk,2022-30-06,Mine,Mariupol
