'id','type','text'
1,ham,Go until jurong point
2,ham,Ok lar... Joking wif u oni...'
3,spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's'
4,ham,U dun say so early hor... U c already then say...'
5,ham,Nah I don't think he goes to usf
6,spam,FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send
7,ham,Even my brother is not like to speak with me. They treat me like aids patent.'
8,ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune'
9,spam,WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.'
10,spam,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030'
11,ham,I'm gonna be home soon and i don't want to talk about this stuff anymore tonight
12,spam,SIX chances to win CASH! From 100 to 20
13,spam,URGENT! You have won a 1 week FREE membership in our £100
14,ham,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.'
15,ham,I HAVE A DATE ON SUNDAY WITH WILL!!'
16,spam,XXXMobileMovieClub: To use your credit
17,ham,Oh k...i'm watching here:)'
18,ham,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.'
19,ham,Fine if thats the way u feel. Thats the way its gota b'
20,spam,England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES
21,ham,Is that seriously how you spell his name?'
22,ham,I‘m going to try for 2 months ha ha only joking'
23,ham,So ü pay first lar... Then when is da stock comin...'
24,ham,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?'
25,ham,Ffffffffff. Alright no way I can meet up with you sooner?'
26,ham,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol'
27,ham,Lol your always so convincing.'
28,ham,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?'
29,ham,I'm back &amp
30,ham,Ahhh. Work. I vaguely remember that! What does it feel like? Lol'
31,ham,Wait that's still not all that clear
32,ham,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? '
33,ham,K tell me anything about you.'
34,ham,For fear of fainting with the of all that housework you just did? Quick have a cuppa'
35,spam,Thanks for your subscription to Ringtone UK your mobile will be charged £5/month Please confirm by replying YES or NO. If you reply NO you will not be charged'
36,ham,Yup... Ok i go home look at the timings then i msg ü again... Xuhui going to learn on 2nd may too but her lesson is at 8am'
37,ham,Oops
38,ham,I see the letter B on my car'
39,ham,Anything lor... U decide...'
40,ham,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!'
41,ham,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola'
42,ham,Did I forget to tell you ? I want you
43,spam,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow'
44,ham,WHO ARE YOU SEEING?'
45,ham,Great! I hope you like your man well endowed. I am  &lt
46,ham,No calls..messages..missed calls'
47,ham,Didn't you get hep b immunisation in nigeria.'
48,ham,Fair enough
49,ham,Yeah hopefully
50,ham,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.'
51,ham,What you thinked about me. First time you saw me in class.'
52,ham,A gram usually runs like  &lt
53,ham,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight'
54,ham,Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it
55,spam,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV'
56,ham,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt
57,spam,Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V
58,ham,Sorry
59,ham,Tell where you reached'
60,ham,Yes..gauti and sehwag out of odi series.'
61,ham,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.'
62,ham,Ha ha ha good joke. Girls are situation seekers.'
63,ham,Its a part of checking IQ'
64,ham,Sorry my roommates took forever
65,ham,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.'
66,spam,As a valued customer
67,ham,"Today is ""song dedicated day.."" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...'"
68,spam,Urgent UR awarded a complimentary trip to EuroDisinc Trav
69,spam,"Did you hear about the new ""Divorce Barbie""? It comes with all of Ken's stuff!'"
70,ham,I plane to give on this month end.'
71,ham,Wah lucky man... Then can save money... Hee...'
72,ham,Finished class where are you.'
73,ham,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX'
74,ham,K..k:)where are you?how did you performed?'
75,ham,U can call me now...'
76,ham,I am waiting machan. Call me once you free.'
77,ham,Thats cool. i am a gentleman and will treat you with dignity and respect.'
78,ham,I like you peoples very much:) but am very shy pa.'
79,ham,Does not operate after  &lt
80,ham,Its not the same here. Still looking for a job. How much do Ta's earn there.'
81,ham,Sorry
82,ham,K. Did you call me just now ah? '
83,ham,Ok i am on the way to home hi hi'
84,ham,You will be in the place of that man'
85,ham,Yup next stop.'
86,ham,I call you later
87,ham,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.'
88,ham,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.'
89,ham,I'm really not up to it still tonight babe'
90,ham,Ela kano.
91,ham,Yeah do! Don‘t stand to close tho- you‘ll catch something!'
92,ham,Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry. '
93,ham,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!'
94,spam,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed £1000 cash or £5000 prize!'
95,ham,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?'
96,spam,"Your free ringtone is waiting to be collected. Simply text the password ""MIX"" to 85069 to verify. Get Usher and Britney. FML"
97,ham,Watching telugu movie..wat abt u?'
98,ham,i see. When we finish we have loads of loans to pay'
99,ham,"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?""'"
100,ham,I see a cup of coffee animation'
101,ham,Please don't text me anymore. I have nothing else to say.'
102,ham,Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx'
103,ham,I'm still looking for a car to buy. And have not gone 4the driving test yet.'
104,ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune'
105,ham,wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc
106,ham,Umma my life and vava umma love you lot dear'
107,ham,Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.'
108,ham,Aight
109,ham,How would my ip address test that considering my computer isn't a minecraft server'
110,ham,I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...'
111,ham,Dont worry. I guess he's busy.'
112,ham,What is the plural of the noun research?'
113,ham,Going for dinner.msg you after.'
114,ham,I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.'
115,spam,GENT! We are trying to contact you. Last weekends draw shows that you won a £1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm'
116,ham,Wa
117,ham,As I entered my cabin my PA said
118,spam,You are a winner U have been specially selected 2 receive £1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+) '
119,ham,Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed! '
120,ham,Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.'
121,spam,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires'
122,spam,URGENT! Your Mobile No. was awarded £2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C
123,ham,here is my new address -apples&pairs&all that malarky'
124,spam,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app'
125,ham,I am going to sao mu today. Will be done only at 12 '
126,ham,Ü predict wat time ü'll finish buying?'
127,ham,Good stuff
128,ham,Just so that you know
129,ham,Are you there in room.'
130,ham,HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx'
131,ham,K..k:)how much does it cost?'
132,ham,I'm home.'
133,ham,Dear
134,ham,First answer my question.'
135,spam,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. £1.50 SP:Tyrone'
136,spam,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p'
137,ham,I only haf msn. It's yijue@hotmail.com'
138,ham,He is there. You call and meet him'
139,ham,No no. I will check all rooms befor activities'
140,spam,You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again'
141,ham,Got c... I lazy to type... I forgot ü in lect... I saw a pouch but like not v nice...'
142,ham,K
143,ham,Sir
144,ham,"A swt thought: ""Nver get tired of doing little things 4 lovable persons.."" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8'"
145,ham,I know you are. Can you pls open the back?'
146,ham,Yes see ya not on the dot'
147,ham,Whats the staff name who is taking class for us?'
148,spam,FreeMsg Why haven't you replied to my text? I'm Randy
149,ham,Ummma.will call after check in.our life will begin from qatar so pls pray very hard.'
150,ham,K..i deleted my contact that why?'
151,ham,Sindu got job in birla soft ..'
152,ham,The wine is flowing and i'm i have nevering..'
153,ham,Yup i thk cine is better cos no need 2 go down 2 plaza mah.'
154,ham,Ok... Ur typical reply...'
155,ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune'
156,ham,You are everywhere dirt
157,ham,Aaooooright are you at work?'
158,ham,I'm leaving my house now...'
159,ham,Hello
160,spam,Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery'
161,spam,You are a winner U have been specially selected 2 receive £1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810'
162,ham,Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life'
163,ham,New car and house for my parents.:)i have only new job in hand:)'
164,ham,I'm so in love with you. I'm excited each day i spend with you. You make me so happy.'
165,spam,-'PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468'
166,spam,BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not
167,ham,I place all ur points on e cultures module already.'
168,spam,URGENT! We are trying to contact you. Last weekends draw shows that you have won a £900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only'
169,ham,Hi frnd
170,ham,Great escape. I fancy the bridge but needs her lager. See you tomo '
171,ham,Yes :)it completely in out of form:)clark also utter waste.'
172,ham,Sir
173,ham,Hmmm.. Thk sure got time to hop ard... Ya
174,ham,What time you coming down later? '
175,ham,Bloody hell
176,ham,Well
177,ham,Let me know when you've got the money so carlos can make the call'
178,ham,U still going to the mall?'
179,ham,Turns out my friends are staying for the whole show and won't be back til ~ &lt
180,ham,Text her. If she doesnt reply let me know so i can have her log in'
181,ham,Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.'
182,ham,You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend'
183,ham,Lol no. U can trust me.'
184,ham,ok. I am a gentleman and will treat you with dignity and respect.'
185,ham,He will
186,ham,Going on nothing great.bye'
187,ham,Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where's my boytoy now ? Does he miss me ?'
188,ham,Haha awesome
189,spam,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed £1000 cash or £5000 prize!'
