ATHLETE NAME	,SPORT,GENDER,AGE,TEAM
GregHire,3x3 Basketball,Male,34,Australia
Daniel Geoffrey CraigJohnson,3x3 Basketball,Male,34,Australia
LaurenMansfield,3x3 Basketball,Female,32,Australia
LaurenScherf,3x3 Basketball,Female,26,Australia
JesseWagstaff,3x3 Basketball,Male,36,Australia
MarenaWhittle,3x3 Basketball,Female,28,Australia
AlexWilson,3x3 Basketball,Female,28,Australia
TomWright,3x3 Basketball,Male,33,Australia
ShauliquaFahie,3x3 Basketball,Female,21,British Virgin Is.
MahkaylaPickering,3x3 Basketball,Female,22,British Virgin Is.
KeithreceSmith,3x3 Basketball,Female,21,British Virgin Is.
JoyVictor,3x3 Basketball,Female,23,British Virgin Is.
BikramjitGill,3x3 Basketball,Male,30,Canada
TayaHanson,3x3 Basketball,Female,22,Canada
Jordan ZakiJensen-Whyte,3x3 Basketball,Male,28,Canada
Alex DeanJohnson,3x3 Basketball,Male,34,Canada
RosalieMercille,3x3 Basketball,Female,19,Canada
AdamPaige,3x3 Basketball,Male,22,Canada
SarahTe-Biasu,3x3 Basketball,Female,21,Canada
TaraWallack,3x3 Basketball,Female,19,Canada
JamellAnderson,3x3 Basketball,Male,32,England
Shanice BrandiBeckford-Norton,3x3 Basketball,Female,25,England
CherideneGreen,3x3 Basketball,Female,26,England
ChantelleHandy,3x3 Basketball,Female,35,England
Jaydon KayneHenry-Mccalla,3x3 Basketball,Male,23,England
Myles Edward SinclairHesson,3x3 Basketball,Male,32,England
OrlanJackman,3x3 Basketball,Male,34,England
HannahJump,3x3 Basketball,Female,21,England
HildaIndasi,3x3 Basketball,Female,37,Kenya
Faheem Ng'ang'aJuma,3x3 Basketball,Male,29,Kenya
MadinaOkot,3x3 Basketball,Female,17,Kenya
George DarrilOmondi,3x3 Basketball,Male,26,Kenya
MelissaOtieno,3x3 Basketball,Female,30,Kenya
Victoria Carolyn AtienoReynolds,3x3 Basketball,Female,24,Kenya
Larry AligulaShavanga,3x3 Basketball,Male,25,Kenya
John OdhiamboWijass,3x3 Basketball,Male,26,Kenya
JaydenBezzant,3x3 Basketball,Male,26,New Zealand
TiarnaClarke,3x3 Basketball,Female,23,New Zealand
GabriellaFotu,3x3 Basketball,Female,26,New Zealand
JillianHarmon,3x3 Basketball,Female,35,New Zealand
DominiqueKelman-Poto,3x3 Basketball,Male,27,New Zealand
KalaniPurcell,3x3 Basketball,Female,27,New Zealand
RichardRodger,3x3 Basketball,Male,25,New Zealand
TaiWynyard,3x3 Basketball,Male,24,New Zealand
JonathanBunyan,3x3 Basketball,Male,30,Scotland
KyleJimenez,3x3 Basketball,Male,24,Scotland
KennedyLeonard,3x3 Basketball,Female,25,Scotland
FraserMalcolm,3x3 Basketball,Male,26,Scotland
GarethMurray,3x3 Basketball,Male,37,Scotland
ClairePaxton,3x3 Basketball,Female,27,Scotland
SianPhillips,3x3 Basketball,Female,22,Scotland
HannahRobb,3x3 Basketball,Female,24,Scotland
Supun RukshanAthapaththu Mudiyanselag.,3x3 Basketball,Male,23,Sri Lanka
Nihari Umanga PereraAthukorala Wickramage,3x3 Basketball,Female,22,Sri Lanka
Janith ChathurangaMilidduwa Gamage,3x3 Basketball,Male,21,Sri Lanka
FathimaMorseth,3x3 Basketball,Female,20,Sri Lanka
Chalani Anuki ReyshaPerera,3x3 Basketball,Female,23,Sri Lanka
YogananthanSimron,3x3 Basketball,Male,22,Sri Lanka
Rashmi Taniya PereraSri Wickramage Don,3x3 Basketball,Female,21,Sri Lanka
Arnold BrentThevakumar,3x3 Basketball,Male,22,Sri Lanka
SheldonChristian,3x3 Basketball,Male,39,Trinidad & Tobago
Adrian DwightJoseph,3x3 Basketball,Male,37,Trinidad & Tobago
Kemrick SpencerJulien,3x3 Basketball,Male,31,Trinidad & Tobago
Steven ArthurLewis,3x3 Basketball,Male,42,Trinidad & Tobago
LachlinDalton,3x3 Wheelchair Basketball,Male,21,Australia
HannahDodd,3x3 Wheelchair Basketball,Female,30,Australia
GeorgiaInglis,3x3 Wheelchair Basketball,Female,28,Australia
JakeKavanagh,3x3 Wheelchair Basketball,Male,28,Australia
AmberMerritt,3x3 Wheelchair Basketball,Female,29,Australia
LukePople,3x3 Wheelchair Basketball,Male,31,Australia
EllaSabljak,3x3 Wheelchair Basketball,Female,30,Australia
KurtThomson,3x3 Wheelchair Basketball,Male,40,Australia
VincentDallaire,3x3 Wheelchair Basketball,Male,27,Canada
KadyDandeneau,3x3 Wheelchair Basketball,Female,32,Canada
RobertHedges,3x3 Wheelchair Basketball,Male,42,Canada
ColinHiggins,3x3 Wheelchair Basketball,Male,31,Canada
TaraLlanes,3x3 Wheelchair Basketball,Female,45,Canada
TamaraSteeves,3x3 Wheelchair Basketball,Female,32,Canada
ElodieTessier,3x3 Wheelchair Basketball,Female,26,Canada
JadeAtkin,3x3 Wheelchair Basketball,Female,20,England
TylerBaines,3x3 Wheelchair Basketball,Male,20,England
AmyConroy,3x3 Wheelchair Basketball,Female,29,England
JoyHaizelden,3x3 Wheelchair Basketball,Female,23,England
LeeManning,3x3 Wheelchair Basketball,Male,32,England
CharlieMcIntyre,3x3 Wheelchair Basketball,Male,17,England
CharlotteMoore,3x3 Wheelchair Basketball,Female,23,England
AbderrahimTaghrest,3x3 Wheelchair Basketball,Male,18,England
Rahel AkothAlar,3x3 Wheelchair Basketball,Female,43,Kenya
Eunice AdhiamboOtieno,3x3 Wheelchair Basketball,Female,40,Kenya
Stella CheropTiyoy,3x3 Wheelchair Basketball,Female,26,Kenya
CarolineWanjira,3x3 Wheelchair Basketball,Female,32,Kenya
Ahmad NazriHamzah,3x3 Wheelchair Basketball,Male,32,Malaysia
Muhammad RoozaimiJohari,3x3 Wheelchair Basketball,Male,27,Malaysia
FredayTan Yei Bing,3x3 Wheelchair Basketball,Male,36,Malaysia
Muhamad AtibZakaria,3x3 Wheelchair Basketball,Male,29,Malaysia
JamesMacsorley,3x3 Wheelchair Basketball,Male,27,Northern Ireland
NathanMcCabe,3x3 Wheelchair Basketball,Male,19,Northern Ireland
ConnNagle,3x3 Wheelchair Basketball,Male,21,Northern Ireland
MatthewRollston,3x3 Wheelchair Basketball,Male,42,Northern Ireland
JudeHamer,3x3 Wheelchair Basketball,Female,31,Scotland
RobynLove,3x3 Wheelchair Basketball,Female,31,Scotland
LynseySpeirs,3x3 Wheelchair Basketball,Female,39,Scotland
JessicaWhyte,3x3 Wheelchair Basketball,Female,24,Scotland
CecilDumond,3x3 Wheelchair Basketball,Male,51,South Africa
AyabongaJim,3x3 Wheelchair Basketball,Male,21,South Africa
SamkelisiweMbatha,3x3 Wheelchair Basketball,Female,21,South Africa
SimangaMbhele,3x3 Wheelchair Basketball,Male,36,South Africa
KelebogileMoeng,3x3 Wheelchair Basketball,Female,33,South Africa
MichelleMoganedi,3x3 Wheelchair Basketball,Female,21,South Africa
AllenMtatase,3x3 Wheelchair Basketball,Male,44,South Africa
AviweNgoni,3x3 Wheelchair Basketball,Female,21,South Africa
Domonic Paul WilliamBedggood,Aquatics - Diving,Male,27,Australia
Emily AnnBoyd,Aquatics - Diving,Female,27,Australia
SamuelFricker,Aquatics - Diving,Male,20,Australia
NikitaHains,Aquatics - Diving,Female,21,Australia
MaddisonKeeney,Aquatics - Diving,Female,26,Australia
ShixinLi,Aquatics - Diving,Male,34,Australia
Emily KateMeaney,Aquatics - Diving,Female,25,Australia
Brittany MaeO'Brien,Aquatics - Diving,Female,24,Australia
CharliPetrov,Aquatics - Diving,Female,14,Australia
FanQin,Aquatics - Diving,Female,30,Australia
Cassiel EmmanuelRousseau,Aquatics - Diving,Male,21,Australia
Georgia Rae LeslieSheehan,Aquatics - Diving,Female,23,Australia
Anabelle LuceSmith,Aquatics - Diving,Female,29,Australia
Melissa Paige Li KunWu,Aquatics - Diving,Female,30,Australia
ReneeBatalla,Aquatics - Diving,Female,15,Canada
Margo ClaireErlam,Aquatics - Diving,Female,20,Canada
CedricFofana,Aquatics - Diving,Male,18,Canada
Bryden RobertHattie,Aquatics - Diving,Male,21,Canada
Caeli SierraMcKay,Aquatics - Diving,Female,23,Canada
Benjamin VeilletteTessier,Aquatics - Diving,Male,17,Canada
Celina JayneToth,Aquatics - Diving,Female,30,Canada
Mia Jolie DoucetVallee,Aquatics - Diving,Female,21,Canada
Rylan MackenzieWiens,Aquatics - Diving,Male,20,Canada
Nathan MilnerZsombor-Murray,Aquatics - Diving,Male,19,Canada
DesharneBent-Ashmeil,Aquatics - Diving,Female,17,England
RobynBirch,Aquatics - Diving,Female,28,England
EdenCheng,Aquatics - Diving,Female,19,England
Benjamin PaulCutmore,Aquatics - Diving,Male,19,England
Matthew LewisDixon,Aquatics - Diving,Male,22,England
DanielGoodfellow,Aquatics - Diving,Male,25,England
AnthonyHarding,Aquatics - Diving,Male,22,England
Yasmin IsisHarper,Aquatics - Diving,Female,22,England
JordanHoulden,Aquatics - Diving,Male,24,England
KyleKothari,Aquatics - Diving,Male,24,England
Jack DavidLaugher,Aquatics - Diving,Male,27,England
MatthewLee,Aquatics - Diving,Male,24,England
EmilyMartin,Aquatics - Diving,Female,21,England
Amy ElisabethRollinson,Aquatics - Diving,Female,18,England
Evie RoseSmith,Aquatics - Diving,Female,17,England
AndreaSpendolini Sirieix,Aquatics - Diving,Female,17,England
Lois MaeToulson,Aquatics - Diving,Female,22,England
Noah OliverWilliams,Aquatics - Diving,Male,22,England
Yona RoshenKnight-Wisdom,Aquatics - Diving,Male,27,Jamaica
Bertrand RhodictAnak Lises,Aquatics - Diving,Male,17,Malaysia
Kimberly Qian PingBong,Aquatics - Diving,Female,20,Malaysia
YiweiChew,Aquatics - Diving,Male,26,Malaysia
GabrielGilbert Daim,Aquatics - Diving,Male,20,Malaysia
JellsonJabillin,Aquatics - Diving,Male,21,Malaysia
HanisJaya Surya,Aquatics - Diving,Male,20,Malaysia
Yan YeeNg,Aquatics - Diving,Female,29,Malaysia
Ker YingOng,Aquatics - Diving,Female,19,Malaysia
Tze LiangOoi,Aquatics - Diving,Male,28,Malaysia
Pandelela Rinong AnakPamg,Aquatics - Diving,Female,29,Malaysia
Muhammad Syafiq BinPuteh,Aquatics - Diving,Male,26,Malaysia
Nur Dhabitah BintiSabri,Aquatics - Diving,Female,23,Malaysia
Nathan John RayBrown,Aquatics - Diving,Male,22,New Zealand
MikaliDawson,Aquatics - Diving,Female,17,New Zealand
