ATHLETE NAME,TEAM,SPORT,EVENT,MEDAL,CONTINENT
Greg Hire,Australia,3x3 Basketball,Men,S,Australia& Oceania
Daniel Geoffrey Craig Johnson,Australia,3x3 Basketball,Men,S,Australia& Oceania
Lauren Mansfield,Australia,3x3 Basketball,Women,B,Australia& Oceania
Lauren Scherf,Australia,3x3 Basketball,Women,B,Australia& Oceania
Jesse Wagstaff,Australia,3x3 Basketball,Men,S,Australia& Oceania
Marena Whittle,Australia,3x3 Basketball,Women,B,Australia& Oceania
Alex Wilson,Australia,3x3 Basketball,Women,B,Australia& Oceania
Tom Wright,Australia,3x3 Basketball,Men,S,Australia& Oceania
Lachlin Dalton,Australia,3x3 Wheelchair Basketball,Men,G,Australia& Oceania
Hannah Dodd,Australia,3x3 Wheelchair Basketball,Women,S,Australia& Oceania
Georgia Inglis,Australia,3x3 Wheelchair Basketball,Women,S,Australia& Oceania
Jake Kavanagh,Australia,3x3 Wheelchair Basketball,Men,G,Australia& Oceania
Amber Merritt,Australia,3x3 Wheelchair Basketball,Women,S,Australia& Oceania
Luke Pople,Australia,3x3 Wheelchair Basketball,Men,G,Australia& Oceania
Ella Sabljak,Australia,3x3 Wheelchair Basketball,Women,S,Australia& Oceania
Kurt Thomson,Australia,3x3 Wheelchair Basketball,Men,G,Australia& Oceania
Domonic Paul William Bedggood,Australia,Aquatics - Diving,Men's Synchronised 10m Platform,B,Australia& Oceania
Emily Ann Boyd,Australia,Aquatics - Diving,Mixed Synchronised 10m Platform,B,Australia& Oceania
Samuel Fricker,Australia,Aquatics - Diving,Men's Synchronised 3m Springboard,B,Australia& Oceania
Maddison Keeney,Australia,Aquatics - Diving,Women's Synchronised 3m Springboard,G,Australia& Oceania
Maddison Keeney,Australia,Aquatics - Diving,Mixed Synchronised 3m Springboard,S,Australia& Oceania
Maddison Keeney,Australia,Aquatics - Diving,Women's 3m Springboard,G,Australia& Oceania
Shixin Li,Australia,Aquatics - Diving,Mixed Synchronised 3m Springboard,S,Australia& Oceania
Shixin Li,Australia,Aquatics - Diving,Men's Synchronised 3m Springboard,B,Australia& Oceania
Shixin Li,Australia,Aquatics - Diving,Men's 1m Springboard,S,Australia& Oceania
Brittany Mae O'Brien,Australia,Aquatics - Diving,Women's 1m Springboard,S,Australia& Oceania
Charli Petrov,Australia,Aquatics - Diving,Women's Synchronised 10m Platform,G,Australia& Oceania
Cassiel Emmanuel Rousseau,Australia,Aquatics - Diving,Men's 10m Platform,G,Australia& Oceania
Cassiel Emmanuel Rousseau,Australia,Aquatics - Diving,Men's Synchronised 10m Platform,B,Australia& Oceania
Cassiel Emmanuel Rousseau,Australia,Aquatics - Diving,Mixed Synchronised 10m Platform,B,Australia& Oceania
Anabelle Luce Smith,Australia,Aquatics - Diving,Women's Synchronised 3m Springboard,G,Australia& Oceania
Melissa Paige Li Kun Wu,Australia,Aquatics - Diving,Women's Synchronised 10m Platform,G,Australia& Oceania
Holly Barratt,Australia,Aquatics - Swimming and Para Swimming,Women's 50m Butterfly,S,Australia& Oceania
Emily Beecroft,Australia,Aquatics - Swimming and Para Swimming,Women's 100m Freestyle S9,S,Australia& Oceania
Kyle Chalmers,Australia,Aquatics - Swimming and Para Swimming,Men's 4 x 100m Medley Relay,S,Australia& Oceania
Kyle Chalmers,Australia,Aquatics - Swimming and Para Swimming,Men's 4 x 100m Freestyle Relay,G,Australia& Oceania
Kyle Chalmers,Australia,Aquatics - Swimming and Para Swimming,Men's 100m Freestyle,G,Australia& Oceania
Kyle Chalmers,Australia,Aquatics - Swimming and Para Swimming,Mixed 4 x 100m Freestyle Relay,G,Australia& Oceania
Blake Cochrane,Australia,Aquatics - Swimming and Para Swimming,Men's 100m Breaststroke SB8,B,Australia& Oceania
Katja Dedekind,Australia,Aquatics - Swimming and Para Swimming,Women's 50m Freestyle S13,G,Australia& Oceania
Elizabeth Dekkers,Australia,Aquatics - Swimming and Para Swimming,Women's 200m Butterfly,G,Australia& Oceania
Jasmine Greenwood,Australia,Aquatics - Swimming and Para Swimming,Women's 200m Individual Medley SM10,G,Australia& Oceania
Benjamin Hance,Australia,Aquatics - Swimming and Para Swimming,Men's 200m Freestyle S14,S,Australia& Oceania
Meg Harris,Australia,Aquatics - Swimming and Para Swimming,Mixed 4 x 100m Freestyle Relay,G,Australia& Oceania
Meg Harris,Australia,Aquatics - Swimming and Para Swimming,Women's 50m Freestyle,S,Australia& Oceania
Kirralee Hayes,Australia,Aquatics - Swimming and Para Swimming,Women's 50m Freestyle S13,B,Australia& Oceania
Timothy Hodge,Australia,Aquatics - Swimming and Para Swimming,Men's 100m Backstroke S9,G,Australia& Oceania
Timothy Hodge,Australia,Aquatics - Swimming and Para Swimming,Men's 100m Breaststroke SB8,S,Australia& Oceania
Chelsea Hodges,Australia,Aquatics - Swimming and Para Swimming,Women's 4 x 100m Medley Relay,G,Australia& Oceania
Chelsea Hodges,Australia,Aquatics - Swimming and Para Swimming,Women's 50m Breaststroke,B,Australia& Oceania
Chelsea Hodges,Australia,Aquatics - Swimming and Para Swimming,Women's 100m Breaststroke,B,Australia& Oceania
Mack Horton,Australia,Aquatics - Swimming and Para Swimming,Men's 400m Freestyle,B,Australia& Oceania
Mack Horton,Australia,Aquatics - Swimming and Para Swimming,Men's 4 x 200m Freestyle Relay,G,Australia& Oceania
Zac Incerti,Australia,Aquatics - Swimming and Para Swimming,Men's 4 x 200m Freestyle Relay,G,Australia& Oceania
Zac Incerti,Australia,Aquatics - Swimming and Para Swimming,Mixed 4 x 100m Freestyle Relay,G,Australia& Oceania
