city,country,name,year,year_last_expansion,stations,length_km,annual_ridership_mill,region
Algiers,Algeria,Algiers Metro,2011,2018,19,185,45.3,africa
Buenos Aires,Argentina,Buenos Aires Underground,1913,2019,90,567,74.0,latin_america
Yerevan,Armenia,Yerevan Metro,1981,1996,10,134,10.75,asia
Sydney,Australia,Sydney Metro,2019,2019,13,36,12.9,australia
Vienna,Austria,Vienna U-Bahn,1976,2017,98,833,459.8,europe
Baku,Azerbaijan,Baku Metro,1967,2021,26,3803,72.1,asia
Minsk,Belarus,Minsk Metro,1984,2020,33,408,219.3,europe
Brussels,Belgium,Brussels Metro,1976,2009,59,399,87.6,europe
Belo Horizonte,Brazil,Belo Horizonte Metro,1986,2002,19,281,54.4,latin_america
Brasília,Brazil,Brasília Metro,2001,2020,27,424,42.8,latin_america
Porto Alegre,Brazil,Porto Alegre Metro,1985,2014,22,438,48.1,latin_america
Recife,Brazil,Recife Metro,1985,2009,28,395,93.5,latin_america
Rio de Janeiro,Brazil,Rio de Janeiro Metro,1979,2016,41,58,118.7,latin_america
Salvador,Brazil,Salvador Metro,2014,2018,19,325,62.0,latin_america
São Paulo,Brazil,São Paulo Metro,1974,2021,91,1044,763.6,latin_america
Sofia,Bulgaria,Sofia Metro,1998,2021,47,52,92.4,europe
Montreal,Canada,Montreal Metro,1966,2007,68,71,164.0,north_america
Toronto,Canada,Toronto Subway,1954,2017,75,765,166.0,north_america
Vancouver,Canada,SkyTrain,1985,2016,53,796,74.5,north_america
Santiago,Chile,Santiago Metro,1975,2019,136,140,263.4,latin_america
Beijing,China,Beijing Subway,1971,2021,366,762,2292.65,asia
Changchun,China,Changchun Rail Transit,2002,2021,63,726,154.37,asia
Changsha,China,Changsha Metro,2014,2020,100,1425,385.76,asia
Changzhou,China,Changzhou Metro,2019,2021,43,5421,22.82,asia
Chengdu,China,Chengdu Metro,2010,2020,285,5192,1800.0,asia
Chongqing,China,Chongqing Rail Transit,2005,2022,210,4025,839.75,asia
Dalian,China,Dalian Metro,2003,2021,80,20103,125.22,asia
Dongguan,China,Dongguan Rail Transit,2016,2016,15,378,35.06,asia
Foshan,China,Foshan Metro,2010,2021,41,719,0.0,asia
Fuzhou,China,Fuzhou Metro,2016,2020,46,5972,94.75,asia
Guangzhou,China,Guangzhou Metro,1997,2021,290,5894,2415.6,asia
Guiyang,China,Guiyang Metro,2017,2021,55,757,36.98,asia
Hangzhou,China,Hangzhou Metro,2012,2022,207,401,582.41,asia
Harbin,China,Harbin Metro,2013,2021,63,79,51.33,asia
Hefei,China,Hefei Metro,2016,2021,122,1562,195.07,asia
Hohhot,China,Hohhot Metro,2019,2020,44,49039,21.3,asia
Hong Kong,China,Mass Transit Railway,1979,2021,97,2044,1155.8,asia
Jinan,China,Jinan Metro,2019,2021,40,843,8.68,asia
Kunming,China,Kunming Metro,2012,2020,84,1394,159.26,asia
Lanzhou,China,Lanzhou Metro,2019,2019,20,259,52.48,asia
Luoyang,China,Luoyang Subway,2021,2021,33,435,0.0,asia
Nanchang,China,Nanchang Metro,2015,2021,103,1286,135.93,asia
Nanjing,China,Nanjing Metro,2005,2021,175,427,801.34,asia
Nanning,China,Nanning Metro,2016,2021,94,1288,208.41,asia
Ningbo,China,Ningbo Rail Transit,2014,2021,114,1825,159.86,asia
Qingdao,China,Qingdao Metro,2015,2021,138,2843,139.09,asia
Shanghai,China,Shanghai Metro,1993,2021,396,803,2834.69,asia
Shaoxing,China,Shaoxing Metro,2021,2021,10,203,0.0,asia
Shenyang,China,Shenyang Metro,2010,2020,91,116,316.28,asia
Shenzhen,China,Shenzhen Metro,2004,2021,288,419,1626.73,asia
Shijiazhuang,China,Shijiazhuang Metro,2017,2021,60,765,71.71,asia
Suzhou,China,Suzhou Rail Transit,2012,2021,154,2108,308.57,asia
Taiyuan,China,Taiyuan Metro,2020,2020,23,2365,0.876,asia
Tianjin,China,Tianjin Metro,1984,2021,164,265,338.75,asia
Ürümqi,China,Ürümqi Metro,2018,2019,21,276,19.11,asia
Wenzhou,China,Wenzhou Rail Transit,2019,2019,18,535,7.01,asia
Wuhan,China,Wuhan Metro,2004,2021,247,435,628.03,asia
Wuhu,China,Wuhu Rail Transit,2021,2021,36,4625,0.0,asia
Wuxi,China,Wuxi Metro,2014,2021,87,1148,87.22,asia
Xiamen,China,Xiamen Metro,2017,2021,65,987,113.97,asia
Xi'an,China,Xi'an Metro,2011,2021,164,26638,731.04,asia
